Num_Ticket,ClienteDNI,id_ruta,AgenciaNombre,BusPlaca,Fecha_viaje
50,70001023,Hua-Hua,Tumbes,sqos0nd74o,2018-5-19
51,70001308,Caj-Lam,Talara,3e7837819b,2018-1-18
52,70001264,Piu-Ama,Chimbote,4116662623,2018-11-3
53,70000312,Lor-San,Máncora,5ok0bgfv9w,2018-9-22
54,70000917,Uca-Tum,Talara,vnccq09ukn,2018-6-24
55,70001282,Pas-Ica,Tumbes,797529i6xm,2018-7-13
56,70001191,Cal-Lim,Chimbote,o93589o0wq,2018-11-1
57,70000348,Piu-Ama,Paita,90p04t952m,2018-12-16
58,70001671,Uca-Apu,Oficina Bolivar,rft81mm44g,2018-11-20
59,70000288,Tum-Caj,Sullana,61c8pw77a0,2018-5-17
60,70001595,Caj-Moq,Oficina Juan Pablo,v66e4r089s,2018-1-28
61,70001492,Apu-Caj,Sullana,h776x350k5,2018-7-9
62,70000884,Hua-Lim,Sullana,38h4d5kp66,2018-1-11
63,70000300,Caj-Pun,Sullana,c8sal29t74,2018-11-4
64,70001634,Tum-Ama,Oficina Bolivar,vc8wotvu46,2018-7-20
65,70000361,Piu-Caj,Piura Terminal,n3crejr6j3,2018-5-3
66,70001138,Tac-Lam,Terrapuerto Trujillo,8351i73n2c,2018-1-20
67,70000484,Uca-Tum,Los Organos,3lb06x70ox,2018-10-27
68,70000733,Tum-Ica,Oficina Bolivar,sb60k5jb37,2018-5-1
69,70000010,Mad-Cal,Sullana,e1809vv0hl,2018-8-5
70,70001389,San-Piu,Chimbote,n06cvd2gaa,2018-8-11
71,70001702,Anc-Lor,Plaza Norte,v450je7a10,2018-2-12
72,70001275,San-Tac,Paita Terminal,06g352652l,2018-2-2
73,70000323,Jun-Ama,Piura Terminal,p9wqleqe3j,2018-7-24
74,70000012,Jun-Ama,Plaza Norte,u42i942u62,2018-11-10
75,70000019,Moq-Cus,Chimbote,95137258mi,2018-7-14
76,70000987,Pas-Lam,Oficina Juan Pablo,5ph7gg4714,2018-1-21
77,70001248,Lam-Caj,Sullana,63qbrma3o0,2018-9-5
78,70001345,Cus-La ,Oficina Bolivar,tf56g90654,2018-4-22
79,70000382,Pun-Moq,Chiclayo,8vf32f2238,2018-8-24
80,70001081,Lor-Lim,Los Organos,qta9n4f506,2018-12-22
81,70001660,Tum-Ama,Plaza Norte,61c8pw77a0,2018-1-6
82,70000148,Anc-Cus,Oficina Bolivar,19t0to4g68,2018-5-9
83,70001806,Tum-Aya,Paita,wr3961i4gg,2018-6-12
84,70000430,Cus-Ica,Máncora,760gow8o69,2018-8-15
85,70001523,Piu-Ama,Plaza Norte,7l71ox93wb,2018-4-21
86,70001891,Cus-Piu,Lima,pbwbxdxc60,2018-4-27
87,70000530,Cal-Pun,Plaza Norte,g435a4krs0,2018-11-8
88,70000251,Tum-Aya,Oficina Juan Pablo,a4u7csvfa6,2018-11-19
89,70000621,Tum-La ,Terrapuerto Trujillo,s4nau97lws,2018-1-22
90,70000410,Are-Caj,Piura Terminal,2c17k0gei3,2018-3-10
91,70000171,Cus-Ica,Tumbes,124285om41,2018-6-5
92,70000764,Pas-Jun,Tumbes,vuq3n4j029,2018-11-19
93,70000538,Lim-Hua,Plaza Norte,el802l4e8r,2018-4-1
94,70001417,Moq-Caj,Terrapuerto Trujillo,c8sal29t74,2018-10-26
95,70000132,Ama-Uca,Oficina Bolivar,1p2ojc4782,2018-4-4
96,70000998,Tum-La ,Lima,5kbl0v7j09,2018-12-3
97,70001392,Mad-Cal,Paita,pqm32bu7h6,2018-11-4
98,70000470,Piu-Ica,Tumbes,44xtr4osja,2018-1-1
99,70001269,Ama-Moq,Talara,7bcx4txw3s,2018-2-3
100,70001051,Lor-Mad,Sullana,xx3f5e5w78,2018-7-18
101,70000968,Pas-Pun,Máncora,36352o9n4k,2018-9-20
102,70000635,Piu-Ica,Máncora,q42bwui518,2018-9-14
103,70000288,Anc-Are,Chiclayo,4i30mepk1r,2018-12-23
104,70000928,Lam-Cal,Sullana,r8vb1q14md,2018-7-10
105,70001152,Caj-Cal,Máncora,i5is3419us,2018-11-26
106,70001148,Hua-Pas,Chiclayo,l6s2o233he,2018-5-7
107,70000566,Lor-Lim,Chiclayo,n3sl621487,2018-4-28
108,70000638,Cal-Lim,Plaza Norte,7fapp9hq35,2018-9-2
109,70001818,Tum-Hua,Tumbes,ma27qo09c9,2018-3-8
110,70000184,Hua-Are,Oficina Bolivar,dkjmx4ax1c,2018-9-12
111,70001148,Lor-Hua,Oficina Juan Pablo,6hhx5llgvf,2018-9-27
112,70001680,Apu-San,Terrapuerto Trujillo,3lb06x70ox,2018-8-21
113,70000631,Cal-Ama,Lima,u1ukxt90j5,2018-10-21
114,70000226,Hua-Tum,Paita Terminal,td65vtw15f,2018-4-7
115,70000858,Jun-Tum,Los Organos,6530t632k1,2018-11-22
116,70001009,Hua-Ama,Plaza Norte,ejc298g24e,2018-5-14
117,70001653,Lam-Lim,Chimbote,i72a58q142,2018-5-8
118,70001419,Cus-La ,Talara,61c8pw77a0,2018-1-3
119,70000019,Aya-San,Sullana,td65vtw15f,2018-6-14
120,70001278,Ama-Hua,Paita,7o98u20vf5,2018-7-12
121,70000135,Caj-Pun,Sullana,71d91ih8jr,2018-12-7
122,70000770,La -San,Paita,lvld9x4v9j,2018-12-13
123,70000106,Jun-Tum,Paita,711485sf67,2018-6-17
124,70001049,Lam-Cal,Terrapuerto Trujillo,6493d0v79c,2018-8-17
125,70000613,Anc-Piu,Plaza Norte,v7m09t769l,2018-9-22
126,70000378,Pun-Are,Oficina Juan Pablo,flx75ss8e9,2018-1-17
127,70001302,Apu-San,Piura Terminal,sw496npf9v,2018-10-16
128,70000214,Pas-Ica,Lima,wlh4soo3qt,2018-3-15
129,70000841,Lor-Anc,Talara,gle5x424la,2018-5-3
130,70000480,Hua-Ama,Piura Terminal,x68ibbkd52,2018-1-4
131,70000837,Are-Ama,Paita Terminal,c07nems566,2018-11-16
132,70001118,Piu-Caj,Chiclayo,7l71ox93wb,2018-11-25
133,70000602,Lam-Lim,Paita,2c17k0gei3,2018-11-11
134,70000806,Aya-Jun,Sullana,5u3bvgdn6x,2018-4-7
135,70001258,Ica-Piu,Piura Terminal,14ueq50pi0,2018-4-8
136,70000577,Piu-Ama,Lima,11a355xa19,2018-7-16
137,70001392,San-Piu,Oficina Bolivar,see891fu36,2018-3-7
138,70001274,Aya-Lim,Máncora,1pqx6nf9dc,2018-9-6
139,70001856,Lor-Ica,Máncora,i72a58q142,2018-3-1
140,70001224,Hua-Cus,Talara,el802l4e8r,2018-8-7
141,70000047,Pas-La ,Oficina Juan Pablo,4116662623,2018-10-25
142,70000968,Moq-Caj,Paita,p68h0f6u4q,2018-12-28
143,70000942,Are-Caj,Los Organos,97trp9r458,2018-1-24
144,70000250,Piu-Mad,Paita Terminal,uc3742l492,2018-11-9
145,70000595,Apu-Ama,Talara,252ao657ih,2018-10-21
146,70001157,Lor-Caj,Piura Terminal,44ainf00e8,2018-6-6
147,70001040,Lim-Lor,Plaza Norte,076nue65j2,2018-6-15
148,70000631,Tum-La ,Sullana,n06cvd2gaa,2018-10-21
149,70000254,Piu-Cus,Lima,s3xu80bsbc,2018-11-7
150,70000672,Pun-San,Tumbes,vptjb6p359,2018-1-14
151,70001381,Cus-Lam,Los Organos,u1ukxt90j5,2018-1-12
152,70000371,Uca-Hua,Oficina Bolivar,wr3961i4gg,2018-10-26
153,70000975,Pun-Jun,Paita,o2s78sav5u,2018-8-6
154,70001491,Caj-Pun,Tumbes,711485sf67,2018-11-16
155,70001709,Tac-Caj,Talara,d5nsp16tvj,2018-12-10
156,70001059,Lam-Anc,Plaza Norte,si5o217v21,2018-6-11
157,70000056,Are-Pun,Talara,u84i081820,2018-7-1
158,70001313,Cus-Ama,Sullana,1p2ojc4782,2018-10-13
159,70000747,Pas-Jun,Oficina Juan Pablo,8vf32f2238,2018-1-9
160,70001291,Lim-Hua,Paita,4116662623,2018-12-2
161,70000553,Pun-Pas,Sullana,p504o91215,2018-4-3
162,70000670,Piu-Caj,Paita,9v61jxlwpw,2018-4-6
163,70001073,La -Tum,Oficina Bolivar,298bc3q5o1,2018-10-20
164,70001753,Ama-Tac,Terrapuerto Trujillo,7443p619r3,2018-5-21
165,70000067,Pas-Ica,Sullana,797529i6xm,2018-9-1
166,70001574,Tum-Aya,Plaza Norte,s55r9t97hd,2018-2-2
167,70000594,Lam-La ,Paita Terminal,831alj7h2x,2018-5-12
168,70000562,Tac-Jun,Los Organos,8wg639135m,2018-8-18
169,70001460,Mad-Caj,Paita,s4nau97lws,2018-1-27
170,70001804,Lam-Uca,Lima,d5nsp16tvj,2018-2-15
171,70000170,Aya-Pun,Plaza Norte,eea8f6508t,2018-4-11
172,70001786,Aya-Pun,Tumbes,376umd01hh,2018-11-11
173,70000778,Lam-La ,Lima,kb24hd3wo8,2018-9-7
174,70001838,Anc-Piu,Plaza Norte,v6564wth48,2018-5-20
175,70000326,Moq-Hua,Chiclayo,7r63c4vx46,2018-11-8
176,70000782,Moq-Piu,Chiclayo,gc4437hsqv,2018-9-19
177,70000381,San-Tac,Sullana,see891fu36,2018-6-14
178,70001400,Apu-Are,Los Organos,2bgv82r5g0,2018-9-18
179,70001306,Lam-Ica,Chimbote,cgdd5094w4,2018-8-7
180,70000428,Uca-Tum,Tumbes,6m9s9ju86m,2018-6-22
181,70000406,Caj-Lam,Chiclayo,65mkp65j27,2018-11-10
182,70001611,Hua-Cus,Talara,44px6f5111,2018-3-10
183,70000183,Hua-Cus,Lima,xww647lk8v,2018-3-17
184,70000010,Pun-Lim,Los Organos,0362f1qdg7,2018-7-15
185,70001522,Anc-Pas,Paita,uv85k371gd,2018-11-5
186,70000286,Pun-Piu,Oficina Bolivar,9m1q339f49,2018-11-11
187,70000101,Moq-Piu,Talara,su1b8vhxs2,2018-1-17
188,70000190,Uca-Are,Lima,13632q719h,2018-5-22
189,70000218,Lam-Ica,Máncora,f81ss5fh02,2018-7-5
190,70001280,Lam-Ica,Talara,dr3k6es98x,2018-7-14
191,70000652,Hua-Pas,Paita Terminal,2nl7nle09o,2018-9-25
192,70001291,San-Uca,Tumbes,0r20h63phi,2018-3-6
193,70001829,Aya-Hua,Terrapuerto Trujillo,69k1gfv94n,2018-7-14
194,70001912,Pun-Hua,Paita Terminal,45t39son1x,2018-7-6
195,70000399,Aya-Cus,Chimbote,w5894qpfx3,2018-4-24
196,70001948,Aya-Hua,Paita,w5894qpfx3,2018-5-25
197,70000486,Apu-Anc,Chiclayo,m0272b7mf6,2018-9-20
198,70000849,Pas-La ,Paita Terminal,u1l5ttn9j2,2018-5-2
199,70001331,Hua-Piu,Chiclayo,76rn9p3k61,2018-4-1
200,70001227,Aya-Hua,Plaza Norte,bi5obvxudo,2018-2-7
201,70001256,Pas-Lam,Piura Terminal,fk190n1fhn,2018-12-14
202,70000704,Aya-Ica,Oficina Juan Pablo,u1ukxt90j5,2018-5-17
203,70001944,Hua-Lim,Terrapuerto Trujillo,3lb06x70ox,2018-12-7
204,70001208,Cus-Piu,Piura Terminal,11wh23nkdi,2018-5-11
205,70000489,Lor-San,Paita,6493d0v79c,2018-1-7
206,70000938,Tum-La ,Oficina Juan Pablo,o38v56p26t,2018-1-23
207,70001813,Tac-San,Chimbote,r2vp1o1cvv,2018-6-8
208,70001010,Pas-Lor,Piura Terminal,fk190n1fhn,2018-1-9
209,70000542,Aya-Pun,Chimbote,icg3nl5ln5,2018-6-12
210,70000367,San-Tum,Talara,8vf32f2238,2018-4-4
211,70001486,Tum-Aya,Paita,37l9ocsob3,2018-3-4
212,70000199,Tac-Lor,Máncora,hsxj4h4s4a,2018-10-13
213,70001634,Cus-Piu,Paita Terminal,p0m396nlxh,2018-5-2
214,70001447,Lor-Anc,Máncora,252ao657ih,2018-8-23
215,70001094,San-Piu,Chimbote,90p04t952m,2018-8-18
216,70001528,Ama-Moq,Chiclayo,065g159lex,2018-12-14
217,70000082,Anc-Are,Los Organos,07tb6muj5i,2018-10-7
218,70001593,Caj-Pas,Paita Terminal,f81ss5fh02,2018-3-15
219,70000731,Cal-Lim,Chimbote,6nw4m85nut,2018-9-12
220,70000962,Moq-Piu,Paita Terminal,r7hc8b537j,2018-8-13
221,70001385,Pun-Moq,Oficina Bolivar,2nl7nle09o,2018-7-10
222,70000317,Pun-Caj,Los Organos,2d779w2w39,2018-6-17
223,70001567,Are-Lam,Chimbote,28ns56f9nj,2018-1-10
224,70001359,Lam-Lim,Lima,k8ws18i2f8,2018-8-4
225,70001342,Tum-La ,Máncora,5u3bvgdn6x,2018-10-25
226,70000964,Hua-Ica,Talara,d59jh0w72d,2018-7-14
227,70001235,Anc-Lor,Terrapuerto Trujillo,69k1gfv94n,2018-10-11
228,70000923,San-Piu,Plaza Norte,vuq3n4j029,2018-11-5
229,70000136,Tac-Lim,Sullana,njpwo5p610,2018-10-15
230,70000270,Tac-San,Talara,v66e4r089s,2018-8-6
231,70000123,Mad-Hua,Oficina Juan Pablo,5hh1628s3e,2018-3-11
232,70001715,Caj-Lam,Oficina Juan Pablo,qi18cssk07,2018-10-3
233,70000354,Ica-Uca,Lima,b2vet6bqqs,2018-4-14
234,70001466,Tac-Jun,Chimbote,hev274nq62,2018-8-4
235,70000647,Aya-Are,Máncora,61c8pw77a0,2018-10-27
236,70000440,Pas-Cus,Sullana,286867m668,2018-8-14
237,70001425,Pun-Are,Oficina Juan Pablo,vuq3n4j029,2018-4-21
238,70001257,Uca-Tum,Paita Terminal,4116662623,2018-5-9
239,70001449,Aya-Are,Piura Terminal,8f6n0v1v1q,2018-9-20
240,70000299,Lam-Cal,Paita Terminal,imf30239v9,2018-8-28
241,70001413,Cal-Tac,Chimbote,xae6815380,2018-11-16
242,70000508,Apu-Anc,Oficina Juan Pablo,55e2li874t,2018-12-23
243,70000887,Apu-Are,Oficina Bolivar,o38v56p26t,2018-6-25
244,70000308,Uca-Tum,Paita,v6564wth48,2018-7-5
245,70001347,Moq-Ica,Talara,xm4qfvepum,2018-5-8
246,70001108,Mad-Cal,Terrapuerto Trujillo,ov7da8310c,2018-10-17
247,70000863,Anc-Piu,Plaza Norte,hsxj4h4s4a,2018-2-20
248,70001700,Cus-Piu,Los Organos,rdamcrat92,2018-5-26
249,70000528,San-Tac,Sullana,ef54p83ua1,2018-1-23
250,70000644,Hua-Ica,Tumbes,p9wqleqe3j,2018-2-25
251,70001587,Lam-Lim,Terrapuerto Trujillo,b4vji3w1vl,2018-2-8
252,70000437,Mad-Jun,Terrapuerto Trujillo,9n920an203,2018-11-6
253,70001057,Pun-Piu,Tumbes,8m3r96b3o6,2018-11-19
254,70000930,Apu-Ica,Máncora,ft32n40kk9,2018-4-20
255,70000388,Pun-Lor,Los Organos,0c90i69p9l,2018-4-21
256,70000524,Pun-Lor,Paita Terminal,519e911ljg,2018-12-3
257,70001141,La -Tum,Talara,it08sd1vhc,2018-7-6
258,70000759,Hua-Are,Chiclayo,q163d18kg4,2018-2-3
259,70000052,Anc-Pas,Los Organos,1oo4083geb,2018-11-9
260,70001130,Ica-Pas,Terrapuerto Trujillo,88r9dt4623,2018-3-23
261,70000374,Tac-Lim,Paita Terminal,r7hc8b537j,2018-10-8
262,70001954,Lor-Mad,Tumbes,q5v3r7db08,2018-9-11
263,70001799,Tac-Lor,Paita,dkjmx4ax1c,2018-6-21
264,70000301,Caj-Lim,Tumbes,15vshop92f,2018-1-11
265,70000667,Uca-Jun,Oficina Juan Pablo,qf75w73nms,2018-2-3
266,70000929,Pun-Lim,Oficina Bolivar,16t27se315,2018-8-18
267,70000097,Tac-Lim,Piura Terminal,n3sl621487,2018-12-25
268,70001508,Tac-Lim,Máncora,5hh1628s3e,2018-6-15
269,70000694,Tum-Cus,Oficina Bolivar,28kwj7rd03,2018-11-1
270,70000916,Tac-Caj,Plaza Norte,q9c8407g63,2018-5-5
271,70000662,Lam-La ,Sullana,nqsj6q740o,2018-5-8
272,70001380,Tac-Jun,Paita Terminal,vgq0o6q92s,2018-12-5
273,70001237,Moq-Caj,Paita Terminal,cgdd5094w4,2018-6-25
274,70001719,Jun-San,Máncora,275109e44l,2018-7-26
275,70000727,Caj-Apu,Sullana,pn39d0wx50,2018-12-16
276,70000606,Cus-Lam,Lima,ddgs15wsu1,2018-6-22
277,70000732,Tac-Lor,Tumbes,38h4d5kp66,2018-3-19
278,70000446,Ica-Uca,Paita,5a9n657gj1,2018-1-27
279,70001557,Piu-Cal,Máncora,797529i6xm,2018-12-6
280,70001410,Jun-San,Chimbote,nc925g1c9x,2018-1-28
281,70000665,La -Tum,Los Organos,5lksmv1o5g,2018-12-7
282,70000172,Apu-Pas,Talara,286867m668,2018-10-7
283,70001277,Apu-Ica,Chimbote,jsgke28lnx,2018-5-2
284,70001688,Aya-Are,Los Organos,50vq169ul6,2018-4-9
285,70001280,Ama-Apu,Plaza Norte,ku68w8r7ob,2018-12-3
286,70001087,Moq-Hua,Los Organos,a73bk7i532,2018-11-21
287,70000851,Are-Caj,Sullana,50vq169ul6,2018-6-18
288,70000841,Pun-San,Talara,kv87dx89d0,2018-1-26
289,70001760,Pun-San,Chimbote,11wh23nkdi,2018-9-23
290,70000914,Caj-San,Lima,ole2trhlah,2018-1-20
291,70000995,Caj-Apu,Talara,k8ws18i2f8,2018-1-6
292,70001579,Cal-Pun,Oficina Juan Pablo,69k1gfv94n,2018-8-6
293,70000933,Uca-Tum,Piura Terminal,7ghjtc40d6,2018-4-13
294,70001459,Apu-San,Sullana,7pxbh2ao74,2018-2-22
295,70000161,Lor-Caj,Sullana,icg3nl5ln5,2018-12-14
296,70001396,Moq-Piu,Oficina Juan Pablo,057a699jw2,2018-3-10
297,70001017,Lam-Anc,Oficina Bolivar,28ns56f9nj,2018-2-22
298,70000298,Ica-Hua,Talara,5i8n8n2m1s,2018-5-2
299,70001219,Piu-Are,Tumbes,2bgv82r5g0,2018-11-19
300,70000214,Cus-Lam,Tumbes,tf56g90654,2018-10-1
301,70000665,Ica-Pas,Tumbes,ghvt75unt5,2018-10-14
302,70001023,Jun-Tum,Piura Terminal,37l9ocsob3,2018-12-12
303,70000066,Cus-Piu,Paita Terminal,21mp6qpf4a,2018-9-26
304,70000837,Apu-Pas,Chimbote,je841044wk,2018-5-12
305,70001764,Pun-Piu,Oficina Bolivar,q163d18kg4,2018-10-18
306,70000690,San-La ,Terrapuerto Trujillo,kai48li57j,2018-9-13
307,70001778,Piu-Cal,Piura Terminal,1m03h21vbx,2018-10-23
308,70001932,Tum-Ama,Paita,36352o9n4k,2018-8-18
309,70000115,Caj-Lam,Talara,8vf32f2238,2018-4-5
310,70001675,Tac-Lor,Lima,366sq2e2km,2018-10-17
311,70000616,Cal-Tac,Tumbes,qf75w73nms,2018-9-20
312,70000415,Caj-Moq,Piura Terminal,4bnv687l2d,2018-11-21
313,70000605,Jun-San,Plaza Norte,an711w72e1,2018-5-15
314,70001102,Hua-Lim,Chimbote,t13d54x47e,2018-12-22
315,70000915,Aya-Jun,Paita Terminal,a4u7csvfa6,2018-6-15
316,70001750,Pas-Pun,Máncora,1e35dn63e7,2018-9-18
317,70000871,Aya-Jun,Tumbes,2e5q542o8o,2018-11-26
318,70001066,Caj-Pas,Plaza Norte,nc925g1c9x,2018-2-13
319,70001027,Anc-Moq,Oficina Bolivar,i5is3419us,2018-7-23
320,70001783,Pas-Lor,Sullana,6493d0v79c,2018-5-27
321,70001214,Tum-Tac,Paita Terminal,50vq169ul6,2018-7-13
322,70001744,Lor-Lim,Paita,nqsj6q740o,2018-9-15
323,70001113,Aya-Hua,Chimbote,si5o217v21,2018-9-20
324,70000457,Pas-Are,Chiclayo,bi5obvxudo,2018-3-10
325,70000494,Lam-Ica,Piura Terminal,ft32n40kk9,2018-3-28
326,70000020,Aya-Are,Tumbes,s4nau97lws,2018-1-24
327,70001592,Lam-Mad,Chiclayo,hkxm4m5600,2018-1-19
328,70001710,Anc-Cus,Talara,6041o60k53,2018-3-10
329,70000895,Cus-Ica,Chimbote,5562n7q55i,2018-12-16
330,70000895,La -San,Piura Terminal,g435a4krs0,2018-8-4
331,70000325,Are-Pun,Oficina Bolivar,19t0to4g68,2018-1-28
332,70000181,Tac-Lam,Tumbes,u42i942u62,2018-9-13
333,70000921,Pun-Lim,Oficina Juan Pablo,8o9h6io82u,2018-12-16
334,70001455,Pun-San,Sullana,42h887b798,2018-9-18
335,70000328,Lor-Anc,Paita,6bw12d938l,2018-2-26
336,70001116,Uca-Moq,Paita,921a1i34kt,2018-9-14
337,70001363,Cal-Lim,Plaza Norte,8e03ll83hi,2018-6-14
338,70000799,Moq-Hua,Terrapuerto Trujillo,q42bwui518,2018-5-28
339,70000227,Pas-Are,Oficina Bolivar,0r20h63phi,2018-5-27
340,70000730,Moq-Piu,Oficina Bolivar,3e7837819b,2018-11-8
341,70000214,Hua-Jun,Talara,hj4fwtgbd6,2018-12-15
342,70001813,Lor-Caj,Tumbes,f81ss5fh02,2018-3-22
343,70000240,La -San,Paita Terminal,flx75ss8e9,2018-7-16
344,70000603,Piu-Hua,Terrapuerto Trujillo,b9bcffqwnu,2018-12-20
345,70001854,Lam-Ica,Talara,n6x9i2j9l6,2018-11-27
346,70001831,Moq-Piu,Piura Terminal,1m03h21vbx,2018-4-17
347,70001782,Apu-Caj,Piura Terminal,519e911ljg,2018-12-26
348,70001375,Apu-Pas,Oficina Juan Pablo,wqp5jf976a,2018-8-13
349,70000029,Lam-La ,Sullana,xwt5k20045,2018-7-2
350,70000515,Jun-Tum,Talara,t13d54x47e,2018-6-1
351,70001257,Caj-Hua,Chiclayo,69k1gfv94n,2018-1-25
352,70000587,Jun-Hua,Oficina Juan Pablo,sw496npf9v,2018-10-24
353,70000071,Lam-Lim,Lima,rv275865qs,2018-4-2
354,70001754,Tum-Hua,Paita,63qbrma3o0,2018-6-3
355,70000817,Ica-Tum,Lima,eea8f6508t,2018-4-25
356,70001648,Anc-Pas,Piura Terminal,797529i6xm,2018-8-9
357,70001717,Uca-Hua,Sullana,9top504c39,2018-10-14
358,70001329,Caj-Pun,Talara,g9q5p55g0o,2018-4-18
359,70001965,Lam-Anc,Chiclayo,s5n179w78v,2018-7-12
360,70001322,Anc-Moq,Chiclayo,u1ukxt90j5,2018-4-23
361,70000037,San-Tac,Máncora,i4n39jjaio,2018-6-23
362,70001946,Cal-Piu,Los Organos,ddgs15wsu1,2018-8-8
363,70000290,Apu-Anc,Piura Terminal,11a355xa19,2018-9-24
364,70000866,Hua-Cus,Chimbote,r5o6stvo91,2018-10-27
365,70000168,Caj-Hua,Talara,ma27qo09c9,2018-2-2
366,70001434,Jun-Ama,Oficina Bolivar,wlh4soo3qt,2018-1-15
367,70000467,Anc-Piu,Máncora,uv85k371gd,2018-5-21
368,70000784,Lam-Lim,Lima,spwsuer7w3,2018-12-13
369,70000899,Lor-Caj,Oficina Juan Pablo,qf75w73nms,2018-6-16
370,70000414,Apu-Pas,Terrapuerto Trujillo,pqm32bu7h6,2018-6-9
371,70000937,Pun-San,Oficina Juan Pablo,hj4fwtgbd6,2018-5-17
372,70001617,Anc-Moq,Oficina Juan Pablo,76rn9p3k61,2018-5-27
373,70000570,Lam-Mad,Oficina Bolivar,14ueq50pi0,2018-5-21
374,70001203,Tum-Hua,Sullana,r7hc8b537j,2018-4-23
375,70001975,Apu-San,Plaza Norte,j26cp8pn15,2018-6-14
376,70000015,Moq-Hua,Tumbes,2f2k773x11,2018-6-5
377,70001190,Jun-San,Paita Terminal,xx3f5e5w78,2018-2-17
378,70001387,Tac-Jun,Los Organos,ak0u9n6882,2018-10-2
379,70000320,Moq-Cus,Oficina Juan Pablo,xu270n95gn,2018-10-12
380,70000500,Lim-Hua,Oficina Bolivar,7r63c4vx46,2018-12-22
381,70001293,Hua-Lim,Chiclayo,06532xhhb8,2018-9-18
382,70000657,Jun-San,Máncora,rdamcrat92,2018-9-18
383,70000260,Moq-Ica,Lima,6gqw2910er,2018-1-23
384,70000870,Aya-Cus,Plaza Norte,5562n7q55i,2018-3-8
385,70000018,Tac-Lor,Los Organos,27l9c0029j,2018-3-8
