Cod_capacitacion,DNI_ponente,Fecha
211,76230500,2014-3-5
212,36715822,2013-12-7
213,87718403,2015-10-17
214,54982151,2014-11-18
215,75591932,2015-7-24
216,50114840,2016-2-25
217,65519493,2014-1-15
218,63968434,2014-9-1
219,23966028,2015-10-17
220,10554393,2013-4-14
221,55606691,2014-4-26
222,16613885,2015-2-27
223,95545642,2016-7-12
224,39155119,2016-7-21
225,92603683,2015-10-27
226,43578549,2014-4-24
227,37494989,2013-7-1
228,80479041,2015-5-19
229,02429595,2013-3-1
230,23188863,2016-1-3
231,84128521,2015-12-8
232,85921478,2014-3-2
233,77880570,2016-10-18
234,24942601,2013-1-4
235,91532099,2016-8-25
236,26709170,2013-5-23
237,67003110,2015-10-28
238,69244772,2014-1-8
239,65118695,2016-7-9
240,83540638,2013-7-3
241,15135210,2013-7-12
242,90444799,2016-11-27
243,13988059,2014-3-2
244,53464322,2015-4-4
245,02796600,2013-8-14
246,89902347,2016-11-2
247,57065112,2013-9-6
248,20074320,2016-11-16
249,00586116,2013-7-17
250,38363162,2013-9-5
251,54480197,2015-1-7
252,33264437,2016-9-23
253,83518130,2013-11-15
254,50792934,2013-1-16
255,17260282,2014-1-5
256,56672714,2015-3-7
257,98768508,2013-3-8
258,43637608,2016-1-21
259,03362863,2013-6-20
260,32417124,2014-7-26
261,47677044,2013-1-19
262,45115304,2013-8-21
263,40089148,2016-11-18
264,86188382,2014-5-19
265,40069020,2016-8-16
266,15460604,2016-9-17
267,83761931,2014-10-24
268,40882536,2013-12-16
269,78036498,2016-10-25
270,89299088,2013-11-23
271,83877370,2013-12-11
272,73945105,2016-3-9
273,98049290,2015-6-27
274,48668790,2014-1-11
275,95903787,2014-2-1
276,20016301,2014-5-9
277,01463525,2014-8-18
278,66423195,2014-11-15
279,71710298,2014-3-1
280,33146401,2014-7-18
281,82370845,2016-8-26
282,92777421,2016-11-15
283,04386083,2016-11-19
284,26686032,2016-5-26
285,10011880,2016-6-3
286,07200766,2016-12-2
287,53935395,2014-2-13
288,84732384,2016-9-7
289,18314700,2016-3-15
290,06769624,2013-1-15
291,04870475,2015-11-9
292,67130734,2016-2-19
293,38805310,2015-1-4
294,46328426,2016-10-27
295,97938746,2015-4-1
296,49374011,2016-1-27
297,60154217,2015-10-24
298,80462325,2014-3-1
299,67186372,2013-11-14
300,11613135,2016-8-3
301,41676878,2016-6-10
302,22114543,2015-11-23
303,33497607,2014-2-9
304,74209596,2015-9-20
305,01803313,2014-7-18
306,41124777,2013-6-17
307,48615878,2016-7-26
308,74079154,2014-7-5
309,60481584,2016-12-5
310,98428360,2014-10-7
311,29814378,2015-3-20
312,55548282,2015-4-11
313,89743987,2014-1-21
314,46862452,2014-3-7
315,41956933,2014-3-8
316,28946635,2013-10-0
317,61501225,2013-10-17
318,85795705,2015-10-7
319,00959294,2016-12-7
320,97139730,2016-11-13
321,82398475,2015-2-19
322,26153270,2016-1-0
323,10241221,2015-6-2
324,25150921,2016-7-23
325,12220622,2016-6-5
326,40847450,2015-6-5
327,34384998,2013-5-21
328,16753114,2016-11-17
329,77270741,2016-7-10
330,75487938,2015-9-16
331,60189432,2015-11-17
332,52124390,2013-12-20
333,18506415,2013-6-2
334,95472145,2015-9-28
335,73878442,2014-6-4
336,58882264,2016-3-15
337,72549662,2013-7-16
338,65775223,2016-8-10
339,71387680,2014-9-24
340,44391233,2016-11-10
341,15560119,2013-7-0
342,47149597,2016-9-17
343,54507298,2014-5-27
344,23137280,2015-2-15
345,54319544,2013-4-6
346,72500999,2015-1-21
347,48062565,2013-3-26
348,88370126,2013-7-5
349,66169798,2014-10-13
350,92603683,2014-9-24
351,54758953,2013-5-13
352,41022645,2014-7-28
353,10057915,2014-8-3
354,60813223,2016-5-10
355,05416659,2015-2-12
356,43639918,2016-8-1
357,76683503,2013-11-27
358,00110906,2016-5-6
359,79226140,2013-1-3
360,62962752,2015-5-0
361,98850305,2013-5-13
362,68169133,2013-3-25
363,97279444,2016-4-6
364,42447934,2016-6-5
365,75573986,2013-1-9
366,46821118,2013-7-16
367,56827515,2016-2-5
368,46568236,2014-3-0
369,39209915,2015-5-5
370,43033413,2015-9-22
371,75831757,2013-9-22
372,99346071,2014-9-24
373,22308285,2013-5-10
374,59644824,2015-4-20
375,13344408,2013-6-17
376,51852980,2016-5-23
377,32095730,2013-5-27
378,48816121,2013-12-4
379,48374426,2016-6-22
380,87081856,2015-7-6
381,37532687,2015-11-13
382,52428389,2014-10-19
383,21899544,2015-6-17
384,20505396,2014-11-4
385,21003284,2015-10-19
386,88527565,2013-9-18
387,77361261,2014-7-5
388,06346642,2013-2-18
389,79927681,2013-6-16
390,89158064,2016-6-3
391,26625063,2015-7-16
392,85731251,2013-12-19
393,54184034,2013-12-3
394,54461561,2016-12-24
395,02402666,2015-12-16
396,81535790,2013-7-14
397,56221429,2013-5-24
398,19901815,2014-10-3
399,23441463,2016-1-1
400,85865067,2016-3-13
401,62242864,2014-10-22
402,07432847,2014-9-9
403,55474791,2016-3-19
404,66806578,2014-11-21
405,45484090,2015-3-22
406,60717089,2016-9-21
407,01752480,2013-1-12
408,35851337,2015-3-3
409,56072929,2016-9-26
410,66169798,2013-8-23
411,45563210,2014-6-9
412,34260711,2016-8-3
413,21895371,2014-4-25
414,94208829,2013-9-23
415,78304059,2013-4-20
416,70202440,2014-9-12
417,19716222,2014-5-12
418,51446955,2016-9-28
419,29112485,2014-9-3
420,71167653,2016-7-7
421,03284087,2015-9-1
422,77746655,2013-7-17
423,66573283,2014-8-5
424,55316590,2016-12-14
425,00944316,2016-12-18
426,99818481,2013-12-18
427,24539702,2016-10-20
428,43473057,2013-10-25
429,57134559,2015-11-26
430,31880175,2013-11-11
431,39618922,2014-8-27
432,58793722,2015-2-15
433,66928185,2014-12-2
434,23200042,2015-11-8
435,23121938,2016-10-24
436,98236004,2015-10-0
437,30262962,2016-2-21
438,97536026,2013-11-25
439,37964432,2015-12-19
440,58496310,2014-5-7
441,24763764,2016-10-22
442,72797222,2016-2-14
443,19745057,2015-12-8
444,68555123,2013-9-23
445,67003110,2014-1-22
446,18040761,2016-5-19
447,98313207,2016-2-20
448,88034119,2014-8-7
449,80417001,2014-10-15
450,10146550,2016-7-13
451,27827644,2014-11-26
452,41059496,2015-1-12
453,09150024,2013-2-8
454,43189046,2014-9-22
455,21899544,2014-3-7
456,48687165,2014-9-27
457,41833041,2014-4-11
458,66669078,2014-11-23
459,46034802,2013-1-4
460,29536766,2013-8-9
461,89886652,2013-8-3
462,64081605,2016-6-12
463,55027738,2016-9-23
464,88385482,2013-8-17
465,76478398,2015-7-11
466,55027738,2013-9-27
467,17482162,2014-1-20
468,01688050,2016-10-23
469,82221910,2013-8-0
470,38546667,2013-1-4
471,26480099,2014-4-23
472,59735927,2016-7-15
473,41917005,2013-11-28
474,80411658,2015-1-6
475,41361797,2013-2-28
476,10659106,2016-8-17
477,88664103,2015-5-5
478,35037172,2014-8-23
479,76558939,2015-6-6
480,51739703,2016-8-21
481,49267172,2014-5-18
482,92119851,2014-12-0
483,12729306,2013-9-16
484,83763939,2016-9-13
485,43711683,2013-7-1
486,25136532,2014-3-15
487,50792934,2016-12-14
488,23207046,2015-5-27
489,24409229,2013-8-26
490,04521808,2015-2-27
491,94227244,2014-1-1
492,72286947,2013-10-17
493,36297291,2016-8-9
494,62717387,2014-6-22
495,67636227,2013-6-3
496,31292967,2014-6-11
497,60236111,2014-1-28
498,70308482,2014-3-19
499,95507586,2015-6-20
500,90223679,2015-12-7
501,86749372,2015-1-10
502,94260346,2015-3-0
503,82376353,2016-8-19
504,18012772,2014-3-2
505,68647044,2015-10-9
506,82398475,2016-9-27
507,76173531,2014-8-3
508,81862438,2015-2-23
509,08873601,2015-1-8
510,98730433,2015-10-25
511,22305270,2013-8-18
512,60861562,2015-9-18
513,10727289,2014-6-1
514,19282695,2014-12-27
515,65994237,2015-5-20
516,55784339,2015-12-11
517,24943451,2016-2-6
518,03273181,2015-3-7
519,74817026,2015-7-15
520,54211494,2015-9-19
521,94335176,2014-10-7
522,18314700,2013-11-17
523,36860258,2015-10-4
524,58297691,2013-9-23
525,32071392,2015-9-0
526,45325803,2016-1-19
527,38165490,2015-5-5
528,21003284,2013-10-18
529,38082294,2015-10-17
530,27178668,2016-12-6
531,13424928,2013-6-10
532,47089253,2015-8-8
533,67682166,2016-6-10
534,59719529,2015-5-15
535,37778500,2013-5-28
536,05619780,2015-7-3
537,33754138,2013-9-21
538,21925830,2016-2-28
539,16064320,2016-9-27
540,37487132,2016-6-24
541,42543528,2015-6-23
542,39445377,2014-9-9
543,96927374,2014-7-17
544,10996812,2014-11-1
545,01130280,2015-12-13
546,11327788,2013-11-14
547,03010551,2015-2-1
548,84459887,2015-6-2
549,01505664,2016-9-15
550,29790285,2014-7-3
551,57630288,2014-8-13
552,14626261,2015-9-11
553,36681627,2016-8-28
554,54350413,2014-4-4
555,46956950,2013-9-21
556,54177258,2014-5-13
557,35258617,2013-6-2
558,94601745,2013-4-1
559,40692400,2015-1-20
560,75288819,2014-7-21
561,76999276,2014-8-3
562,45153251,2015-5-18
563,31859589,2013-12-7
564,66528969,2016-10-10
565,05307241,2016-8-8
566,75325523,2015-9-5
567,42952805,2014-4-3
568,96407095,2014-11-18
569,77280502,2014-8-3
570,86810860,2016-1-5
571,39155119,2016-12-4
572,38612025,2013-3-20
573,63390483,2014-11-17
574,76434050,2016-11-22
575,73298317,2014-6-14
576,46044153,2016-1-22
577,85870545,2016-11-14
578,00843754,2015-5-14
579,68336098,2016-3-0
580,28382667,2013-6-5
581,51955311,2016-3-2
582,45273176,2013-2-11
583,51070233,2015-1-27
584,84777254,2014-10-22
585,50969914,2013-1-4
586,74416939,2014-5-2
587,40081015,2015-8-19
588,28414308,2013-1-1
589,24943451,2015-11-22
590,08019887,2013-2-25
591,34930871,2014-2-7
592,46787505,2015-2-16
593,92218916,2015-11-9
594,98099777,2015-10-1
595,25112437,2013-9-9
596,87005683,2013-2-17
597,51268488,2016-8-26
598,31159821,2013-10-0
599,31776098,2015-3-15
600,62059188,2016-4-7
601,60192602,2014-1-7
602,23381922,2014-9-28
603,88241748,2013-6-21
604,50656714,2015-12-1
605,82554046,2016-3-17
606,25130947,2016-8-4
607,21348943,2014-11-9
608,43292332,2014-6-25
609,78695350,2014-3-0
610,41947568,2015-5-1
611,07861615,2014-3-20
612,54614943,2014-5-21
613,72205811,2016-6-24
614,56696750,2013-6-25
615,15148929,2016-11-23
616,01338286,2016-1-5
617,36144393,2015-8-22
618,81027698,2016-2-13
619,05689316,2016-11-17
620,46568236,2015-12-9
621,52493912,2014-10-24
622,29612485,2016-9-16
623,16406360,2015-2-28
624,04483734,2014-12-1
625,10890307,2015-4-22
626,03809484,2013-9-13
627,12811939,2015-1-21
628,08200672,2013-7-21
629,48860765,2013-11-19
630,23716499,2015-2-17
631,70725587,2015-6-17
632,87370730,2013-3-20
633,76387692,2014-12-17
634,16203116,2016-11-0
635,20491728,2015-7-23
636,86239234,2014-1-12
637,74022330,2015-3-15
638,60219428,2016-10-1
639,85536546,2015-2-23
640,92203634,2016-1-9
641,36377275,2013-7-13
642,52963882,2013-8-12
643,86663330,2014-8-14
644,02732795,2016-10-18
645,33436197,2016-4-26
646,21861894,2014-6-9
647,43576959,2015-11-14
648,24784362,2015-5-20
649,43984690,2016-11-26
650,80135465,2014-4-20
651,09156480,2015-1-6
652,20035978,2014-6-24
653,13670505,2013-12-25
654,72461476,2013-12-18
655,91636792,2014-8-28
656,75084153,2013-9-6
657,25782655,2015-5-20
658,37343582,2016-10-19
659,97190463,2014-9-15
660,91132160,2014-1-0
661,12225415,2016-1-3
662,21547522,2016-5-13
663,30380944,2013-1-1
664,47513380,2013-7-20
665,03988385,2015-10-27
666,39252743,2015-10-1
667,57896485,2015-1-20
668,47089963,2013-12-22
669,39155119,2013-10-9
670,75245402,2014-4-13
671,67979244,2016-1-28
672,13779074,2015-5-0
673,79975354,2015-9-10
674,21761905,2014-12-24
675,26873839,2016-10-23
676,17640031,2014-1-28
677,45152103,2014-9-24
678,87049361,2016-5-0
679,88561471,2013-7-23
680,14626261,2015-3-2
681,44890960,2015-8-20
682,01803313,2015-10-26
683,84863933,2015-11-21
684,42174624,2016-7-13
685,98730433,2015-6-23
686,53395821,2014-1-21
687,04306297,2015-9-27
688,96308440,2016-8-1
689,21348943,2015-3-7
690,21522942,2016-6-10
691,52722634,2016-4-19
692,60789149,2014-2-28
693,95208249,2015-3-22
694,10775128,2015-2-22
695,44611004,2014-3-13
696,55582810,2014-7-17
697,25785437,2013-12-0
698,69581516,2013-4-15
699,32787047,2015-2-19
700,62242864,2016-2-9
701,65589949,2013-2-16
702,60070360,2015-4-20
703,18830451,2015-1-24
704,06113274,2015-11-27
705,58832585,2015-9-2
706,00420150,2013-10-15
707,42842267,2016-6-24
708,19221902,2015-3-2
709,56893590,2013-6-23
710,80031702,2013-5-16
711,01247862,2013-4-1
712,50426094,2014-10-17
713,92530266,2015-10-6
714,91517256,2015-5-15
715,69451177,2014-12-11
716,88834526,2014-8-3
717,44351900,2013-4-28
718,24859324,2016-7-27
719,90148499,2014-6-22
720,51504328,2015-6-20
721,59192700,2015-9-10
722,46379299,2014-4-24
723,81670813,2015-7-8
724,36834016,2014-6-19
725,86851064,2013-10-14
726,93678151,2016-5-23
727,70093525,2014-2-12
728,60623031,2015-7-0
729,24098214,2016-8-9
730,00339220,2015-5-5
731,63512505,2015-10-4
732,74383223,2015-5-14
733,95619148,2014-11-8
734,24036878,2015-3-19
735,40841164,2016-7-7
736,72151358,2013-9-27
737,73821611,2016-9-28
738,52297992,2014-11-23
739,69163641,2016-10-0
740,72075624,2014-12-16
741,89084679,2014-3-22
742,04182177,2013-3-16
743,13869255,2013-5-2
744,99327547,2013-12-4
745,17117319,2016-12-27
746,85029722,2014-12-17
747,31356424,2013-4-0
748,91025202,2015-2-14
749,60486558,2016-5-1
750,31841515,2015-1-25
751,03296265,2013-11-2
752,65658757,2014-4-5
753,46718450,2015-3-14
754,19448290,2014-2-2
755,26757448,2013-11-13
756,58894680,2016-8-25
757,91839128,2016-12-26
758,76180640,2016-4-11
759,93506813,2014-4-10
760,51071687,2015-5-6
761,85655182,2015-2-4
762,72010671,2016-10-16
763,62387977,2016-3-21
764,76558939,2014-10-14
765,27990989,2013-6-8
766,32322961,2013-4-5
767,28114596,2016-11-15
768,69736173,2015-2-25
769,39852961,2015-12-5
770,93604366,2014-8-6
771,36377275,2014-12-24
772,44116045,2014-4-11
773,76276986,2014-12-27
774,39893523,2015-4-20
775,97653287,2014-1-5
776,74861715,2014-2-2
777,80757879,2014-7-24
778,06604279,2014-7-16
779,18603742,2015-10-18
780,19551406,2014-3-6
781,61922937,2014-10-21
782,81417461,2014-4-26
783,29291028,2016-9-7
784,38751658,2014-2-23
785,23928757,2013-3-13
786,17015874,2014-12-18
787,44953345,2013-7-17
788,13023137,2013-11-0
789,54114610,2013-4-18
790,51039052,2015-3-28
791,27164727,2015-10-16
792,92294868,2016-4-12
793,37939900,2015-3-6
794,93318064,2014-6-21
795,45928218,2016-1-13
796,36631357,2015-8-0
797,45558038,2015-7-11
798,74176379,2013-8-19
799,71795699,2013-1-7
800,23617773,2016-5-15
801,15013830,2015-12-5
802,80823043,2013-11-17
803,78519548,2015-2-8
804,71000869,2013-2-22
805,31871743,2016-8-8
806,07873298,2015-1-10
807,57449725,2013-9-3
808,25328265,2013-1-9
809,16492173,2016-10-4
810,42376541,2013-2-11
811,52288804,2015-7-9
812,01874927,2016-4-25
813,98587327,2015-5-0
814,75880952,2013-10-17
815,38458993,2015-1-14
816,41764988,2014-9-26
817,83288215,2015-9-11
818,60226152,2014-8-12
819,63166586,2014-9-11
820,39087885,2016-5-17
821,69366585,2013-12-4
822,16595248,2013-8-20
823,13245002,2013-9-6
824,97575205,2013-11-4
825,61149219,2016-10-16
826,13555048,2013-10-0
827,67708936,2014-4-11
828,23180894,2013-12-27
829,70512669,2015-11-13
830,43650635,2014-2-6
831,14510772,2014-11-11
832,21327701,2013-5-19
833,18415305,2014-10-5
834,02002415,2015-9-2
835,32286300,2013-4-7
836,42012030,2015-1-19
837,42620155,2015-10-28
838,81862438,2016-4-3
839,62191694,2014-8-20
840,82503276,2016-4-26
841,07778130,2013-10-27
842,80527016,2015-8-6
843,92183912,2015-9-13
844,90841759,2013-7-10
845,20801318,2013-3-4
846,68598315,2015-7-3
847,10330344,2015-11-9
848,46862452,2014-12-18
849,19675811,2013-6-9
850,67406673,2013-5-15
851,27518136,2013-11-11
852,24474312,2014-7-20
853,09728107,2014-8-11
854,95751519,2015-12-1
855,27722930,2014-9-26
856,36635057,2016-9-12
857,93706463,2014-11-10
858,41785452,2015-3-6
859,99590733,2014-12-1
860,54047232,2014-5-3
861,48078398,2013-12-10
862,27445419,2015-9-10
863,67554203,2013-4-10
864,72010671,2016-3-12
865,49313142,2013-9-4
866,18895929,2016-8-15
867,70528148,2015-9-0
868,16676035,2013-10-24
869,54982151,2013-1-19
870,16912985,2013-5-24
871,78688988,2013-6-26
872,90668902,2016-2-2
873,69256380,2015-12-19
874,61713352,2016-1-15
875,76644602,2013-4-12
876,80885005,2013-1-11
877,57369868,2013-4-13
878,16304553,2013-10-17
879,05580608,2015-12-22
880,50452741,2013-1-27
881,21183175,2016-4-13
882,96914626,2016-9-22
883,77880570,2016-2-23
884,04694556,2014-5-16
885,41243184,2013-3-11
886,56094001,2016-10-13
887,57750831,2013-4-24
888,24009965,2016-11-23
889,45210237,2014-4-26
890,22487364,2016-6-18
891,88572662,2016-12-27
892,41934738,2016-7-26
893,67867086,2013-4-4
894,38487866,2014-8-27
895,16224320,2016-3-18
896,20809702,2013-3-20
897,60443998,2014-12-27
898,41956933,2013-11-23
899,59611071,2014-7-24
900,67779898,2013-11-7
901,10224482,2014-12-2
902,40694159,2016-8-3
903,90548120,2014-3-26
904,42126576,2013-7-0
905,38808565,2014-3-12
906,75126737,2013-10-14
907,40024737,2016-2-6
908,50236159,2016-2-12
909,90914501,2014-3-25
910,09738075,2014-4-25
911,69426679,2014-3-18
912,94664919,2013-4-1
913,46193341,2014-2-28
914,69636601,2016-9-28
915,04101724,2014-1-16
916,79712585,2014-2-23
917,97593850,2013-12-0
918,46101301,2015-9-17
919,13271290,2016-9-14
920,97854062,2016-10-6
921,23079858,2016-1-24
922,42915271,2013-2-28
923,94553079,2014-7-4
924,02002415,2013-2-1
925,98525252,2014-4-9
926,18872966,2013-2-24
927,79162271,2014-2-25
928,95239416,2016-8-6
929,67727983,2016-1-18
930,15331610,2014-5-1
931,52007641,2016-10-4
932,51250448,2016-7-13
933,72310288,2014-5-23
934,86623764,2015-4-28
935,21674254,2013-4-16
936,77002702,2015-7-22
937,33434964,2016-6-12
938,16883790,2015-7-12
939,60284331,2016-9-25
940,00359477,2015-12-18
941,77575401,2016-3-10
942,35850057,2014-2-3
943,05420321,2013-10-8
944,98950570,2013-3-12
945,64771843,2013-11-1
946,72528936,2013-11-14
947,84780036,2015-12-17
948,16319010,2015-10-6
949,21409082,2016-6-1
950,82331295,2015-1-6
951,30067472,2014-7-0
952,66780062,2014-8-25
953,40069020,2014-9-18
954,33432834,2015-3-11
955,69943159,2014-5-19
956,46143517,2014-6-10
957,93678151,2015-4-22
958,79898624,2016-7-5
959,54950002,2013-7-6
960,18524788,2014-8-6
961,51939270,2016-2-22
962,34682673,2016-11-18
963,14120028,2016-5-16
964,66169798,2014-1-18
965,36434501,2016-6-8
966,50405486,2016-6-8
967,32291647,2016-7-24
968,86540187,2014-1-19
969,63766913,2014-8-4
970,87909298,2014-9-12
971,09173814,2013-2-21
972,81901665,2014-7-15
973,51195655,2016-4-26
974,90459728,2013-4-11
975,50149029,2015-9-4
976,40424186,2013-2-21
977,06031443,2013-11-23
978,59214027,2015-5-6
979,30671160,2014-8-18
980,01524088,2014-8-27
981,19355180,2015-11-7
982,55988748,2015-12-16
983,44562208,2016-9-23
984,49620083,2014-12-2
985,79396880,2014-2-12
986,96289614,2014-7-3
987,45313696,2015-1-28
988,39510554,2016-1-20
989,33434060,2016-9-6
990,06857134,2016-5-1
991,28031126,2013-5-13
992,26757448,2013-6-6
993,74045097,2015-8-12
994,52154145,2015-1-16
995,51129831,2013-9-15
996,69138207,2013-1-12
997,99663880,2013-4-15
998,98010850,2016-10-28
999,18410387,2015-11-1
1000,32095730,2016-1-5
1001,55418144,2013-10-16
1002,58690156,2014-8-16
1003,87894469,2016-10-9
1004,93964662,2014-7-5
1005,21870990,2014-8-15
1006,12948703,2014-2-9
1007,59019921,2016-10-24
1008,50297590,2015-1-27
1009,00359477,2014-4-27
1010,36243916,2015-7-0
1011,67526475,2016-11-16
1012,42981582,2013-5-6
1013,91737035,2016-6-28
1014,53573735,2015-8-5
1015,06515981,2014-5-21
1016,49281804,2014-3-14
1017,31755066,2014-6-28
1018,29146885,2016-7-13
1019,75718058,2014-3-28
1020,42090732,2015-11-3
1021,89220919,2016-3-3
1022,02290162,2015-11-0
1023,22560455,2015-10-0
1024,84250412,2016-4-16
1025,97044074,2013-8-28
1026,40524314,2015-11-4
1027,77895545,2014-2-0
1028,01032585,2016-1-25
1029,35126263,2015-1-25
1030,95143822,2015-12-9
1031,28321696,2013-6-7
1032,24674495,2013-11-6
1033,50656714,2014-7-3
1034,15228479,2013-10-0
1035,65531084,2015-12-1
1036,36730669,2016-11-6
1037,47175497,2015-10-28
1038,02023685,2013-10-11
1039,57792840,2016-2-8
1040,50803335,2016-6-14
1041,05316912,2016-12-27
1042,15488204,2013-7-3
1043,27182705,2014-7-24
1044,23976098,2014-9-15
1045,08527332,2014-1-0
1046,54938642,2014-10-4
1047,94482555,2015-3-5
1048,74386497,2013-5-6
1049,57900441,2016-10-27
1050,79477245,2013-10-22
1051,81877646,2016-3-22
1052,71792861,2016-9-10
1053,58038928,2013-1-9
1054,50562618,2014-9-8
1055,83272796,2015-7-19
1056,53151808,2015-6-22
1057,48927178,2016-2-11
1058,26441591,2015-9-8
1059,44297980,2015-7-10
1060,14584275,2015-7-17
1061,79057226,2015-9-28
1062,89791523,2013-7-0
1063,18898988,2013-7-19
1064,42156439,2013-4-17
1065,50186167,2013-2-10
1066,98235192,2014-3-4
1067,99300966,2014-4-21
