DNI_ponente,Cod_capacitacion
31465558,1574
63135340,722
04901860,1705
78972281,4996
11895442,2540
23736211,4168
56676433,978
85585279,979
72657139,2450
20849501,3890
34536501,308
77844089,2148
52515460,455
67559873,414
11725148,3858
30049849,1787
55591014,63
00893964,2135
75478727,506
59103076,512
95208249,1035
91162691,1091
94540092,3276
10027821,1752
99986897,1543
87539233,1378
45749593,393
62682084,473
84270484,763
05545148,4853
42656064,56
46884832,54
65519493,502
60747943,4591
75962232,672
58391682,3112
12040518,2487
98956051,1424
88764605,1274
46555899,2842
02354624,171
96812737,1020
55229062,451
34547268,4116
13858987,85
16683116,2188
99728679,1962
56876956,2964
74607629,2135
17455506,1177
66727772,363
32166867,2218
43789967,3493
04348408,1318
85552824,3170
91991547,289
68247382,4732
92254926,1610
92205294,507
46914079,2750
66433462,1048
89838865,3437
66194483,3532
04260400,3179
27871661,308
73441430,1178
15272153,4998
10330344,4874
85354178,3390
21913421,962
45854153,1704
28752313,2606
69627284,3913
26686032,2972
37682676,2648
48722559,2716
18732184,2012
63150879,3059
16663240,3906
50207668,3915
15333286,1946
89641720,4886
64033486,1193
54819179,1787
66435046,2304
38483153,199
08837042,353
07024344,1796
16823684,4727
83574454,2742
04032968,3194
54167129,2423
75431664,4315
89357613,4806
03472402,4424
69949664,2436
87370180,1518
25947588,1019
92087786,4786
16912985,1350
17527787,1909
57808568,2450
49005375,2060
40393628,585
56557409,3071
94715785,1866
66232495,1490
37035542,4176
38482837,2476
31646687,379
28666173,408
40225483,975
14126883,2841
43772009,2342
13369494,4802
73240254,4717
23143736,2946
93729653,3029
59759954,469
67547952,4497
58636617,4646
12250200,1158
85777071,653
29612485,3293
20525778,668
61953822,1381
23065934,2839
64795903,4355
86497394,4352
45679616,3307
35773073,4445
82143744,4921
34260711,4247
17377212,3750
80823043,4269
79029523,4609
07560272,4611
78476323,51
30380944,2453
19221902,1097
61818919,3369
50391789,1902
81466865,2540
77358780,3241
00501689,2010
19084569,102
24992023,3629
19354721,3848
30657129,4325
89588757,3945
82500020,3550
59521476,3861
01380659,674
71672172,1130
70520344,4961
47217710,306
91059071,2411
73680367,2242
89777770,1170
61884643,3195
46470348,1088
33816852,988
97065835,4672
83997238,297
45145197,139
39926607,296
54428514,502
86446461,4555
21671432,774
80254130,3360
33394804,618
15815503,1769
48277853,2227
47672755,684
61605803,3551
41107878,4281
87293888,4880
95482545,2060
83745967,2810
48860765,1253
69752382,656
98308234,4343
09315961,2059
02216868,39
40413851,2288
12023834,1272
03164125,3418
47871490,3639
59611071,4756
29302451,3098
51071687,906
13374333,650
11801811,353
20070460,1690
13174865,4124
04370752,3817
35694397,845
54155852,2291
82738099,4763
77351126,3441
70095324,2081
87069672,2662
99935106,458
37979681,3848
16668509,1977
63128115,2578
06074698,678
02850369,3670
54334438,4995
76792056,1899
52703617,4656
81839792,3900
45590679,229
91150683,1110
44715632,4873
19272628,4748
27822340,1969
69105967,158
01788078,63
80012806,347
38082294,2305
99580438,2628
66938637,3858
67236169,3070
59165458,4362
99663880,2973
58585392,687
45694984,873
60237002,768
62774586,4965
12220717,2887
83745967,300
66061824,3475
93961407,4989
45677250,2168
39637020,3283
31758137,4613
14410008,1512
80528171,4913
47271111,3678
91741381,4553
44729465,4646
99430557,1229
87784436,212
04483734,3855
48201116,343
48687165,1242
86845986,4303
08873601,157
21479846,960
06501312,980
20569537,4503
81974023,2858
35568612,1770
95734319,1950
12330103,3398
18751352,4803
66720212,799
49521832,1268
44489912,734
80569859,2541
78692378,3218
44593741,776
19135320,4853
14301558,3166
05167347,4610
35249685,2760
01279870,3796
39028748,2833
67429588,1093
66153786,3718
21053126,343
78139869,241
90506397,2258
25042314,3506
32417124,2985
87806316,1773
21976732,4832
89886652,1428
24273605,4834
34384998,1851
13275363,1445
02885411,4910
43842148,2934
56558448,3512
27042983,231
04676740,1223
29054819,2104
18415305,3068
13239023,4326
27993233,59
46737607,2623
49913562,1218
79396880,2086
19121933,3492
19745057,3593
95283893,2718
21447380,2659
33309535,2983
23772691,3076
37233759,2324
24627711,78
60641352,1585
97943447,1364
71403403,4249
88890982,1228
91091077,705
36715822,3846
89760537,4010
82721099,922
90425858,4205
85254816,550
73778663,3609
77502688,2256
31566888,2858
81603547,792
77832430,1343
95370783,83
86260724,4404
47721918,2581
71253536,1194
42376541,667
80958915,1717
95522263,1527
99935106,3149
38418892,4583
54475253,4668
28951130,1982
01292464,1047
62411271,2573
80958915,2274
19895765,440
16494039,587
93893881,2897
83025407,4675
83029843,1350
38368676,1993
56674663,4120
26559376,4234
57023849,4438
19724004,800
39163287,2442
51391912,1859
77508928,1449
40424186,1367
33552030,4515
81669576,3740
73106588,3611
07432847,1831
35208096,2024
99799682,3340
79602918,2375
35684712,3095
57158773,1747
28657550,4847
29309246,2416
68060307,2911
91253564,2468
97590184,3340
82552612,4028
48277221,4293
39074632,1053
54737839,4852
73581069,65
74523199,3878
75128407,4542
42954218,1815
23928757,255
21584043,1117
85280964,3591
28619856,4540
84780036,2965
01433513,3571
83194242,3574
75962232,703
80637840,2970
90444799,3851
64528772,734
76844303,1393
21295910,3090
12327918,4241
83802631,3841
54239826,2254
24564881,2319
53413211,2450
75226477,2040
37815624,4622
75532434,795
89357613,1791
42832031,2808
75478727,4676
29758024,195
65350729,2507
36451840,4934
36465423,3080
52722634,523
30982611,2009
63598636,3378
88120146,1164
02526840,3987
92679460,4311
21895371,3309
45301306,2385
28480443,1183
23481177,2530
99422796,4374
97560741,2475
79372485,3438
83411407,498
45563210,1586
60005347,2749
96641772,2252
30497206,4177
97986723,4022
12109685,4031
71716698,1659
40595800,389
20141110,4981
36264640,3129
42152544,3302
52422807,2860
11393882,4218
00494096,2246
83438741,3021
55979199,2380
72915344,4027
94841398,3068
80961809,1241
28062320,3262
01406468,290
83662421,4625
43205541,1989
53088553,4623
36451840,4140
65950510,2190
03288352,4764
90737780,118
50605804,1738
63766913,1638
74099288,2813
32036163,719
20093030,500
53232693,3120
80529291,3737
79969817,4709
45928218,29
86822549,3682
37035542,700
60440847,1692
25653765,2409
66898495,3634
82195924,285
58791667,2507
56868402,2469
22147008,3136
24409229,868
24524598,2122
73142800,347
60523443,814
96787323,2978
87370730,817
53039362,1209
70536675,1377
69627284,2804
46282011,4453
97323548,3303
05529401,91
47113472,1839
62161253,1965
40746143,3096
11725148,942
66171587,1660
34379956,3036
13695491,4660
02215474,3797
05446747,725
13374333,1997
99799682,4113
36712831,1547
75311132,2795
87113549,1186
86150680,4087
38733811,1039
18185876,228
21934033,2939
57065112,4457
13378929,4992
24688887,3299
19078526,830
48337090,935
14304588,3301
88914866,1945
36280578,1299
39098720,24
11284202,679
27073772,199
57787459,269
99507501,4495
48007421,4269
16526643,665
75996812,751
10306355,2443
70760763,2593
39937580,2827
77717688,1405
61069252,754
74987905,1775
90282929,2708
47715359,109
72348384,3624
61264678,1903
62399354,357
89324306,4462
51071687,4833
48945872,3631
81535790,2292
51900148,1974
92203634,2829
54950002,4533
66081946,694
91310083,771
89516948,3348
60129732,1851
34961065,3324
56838295,3788
95360451,1804
10728265,2124
13750581,568
64142515,4718
82101404,3022
78645277,2252
40820823,4084
94669161,2754
50027658,1497
96552479,274
65836362,4578
10158548,2695
04031732,2648
59566610,335
50186167,4210
13078248,4274
12825936,2519
79162271,4528
67531355,689
20695820,4840
04917815,299
12762205,4025
15942884,2671
20339266,4001
64603723,419
96589653,4064
07719212,4377
43917193,4275
97838152,2658
64938668,2999
72906184,86
23855698,4235
86565815,1375
50410378,2044
29340419,713
84013377,2127
43203464,329
74825024,3100
78289675,636
17239309,4874
56048125,433
77623843,1052
24061335,3402
51482622,1836
62602274,1290
43929090,634
64617494,4812
67711365,333
20928206,1337
42499650,956
31156301,614
02560570,767
00862626,589
53150028,1648
75464293,3673
42748018,2281
93252904,3165
85947984,269
08656926,2717
38483153,3980
37815001,3293
38626194,1736
53871221,2188
18224762,3349
21089612,2151
26232135,3279
34868385,3742
42703362,1413
33690103,619
29051406,1908
94557761,936
56537889,1103
66318782,1579
22035182,2020
94777342,4829
49079325,3304
66874904,1967
42818145,284
59849194,4815
58401844,4032
60651243,4291
85090254,2436
77403133,4063
47217710,3716
09744575,1910
64990705,1678
31228230,1166
95501497,3299
19485980,1857
11393882,2042
77720116,2673
97771463,1161
85597186,3091
77508928,1500
46826943,1431
69449826,2577
78145045,548
88029591,3756
62497720,3862
36977524,1997
33183718,4449
64629227,1323
44703471,2809
16223802,4713
55760628,2646
96438449,2706
11415787,3454
60192602,2664
50090624,3017
55052781,3508
29743664,1048
96365934,1522
71155112,2450
06420435,3912
97357530,4103
43800501,4788
29800073,938
18465818,520
32630388,3438
59817840,1118
05817080,3341
32217229,2756
88063693,396
72985537,2397
41460381,4584
42372307,2861
74939611,1990
94326058,1285
76566340,1014
12220019,2104
54974623,3812
30688261,1373
76478398,4356
88247434,1201
29528891,4832
00057546,230
06031443,3848
96860373,2673
64323812,3406
26987685,4009
08154563,2327
10054192,1327
44030096,2606
47276900,109
09061319,4162
35431283,2793
82411544,457
06582191,4076
66966610,3764
30236840,311
61858819,302
81839792,4474
61351273,3528
01954413,1099
80315109,4921
45115304,1277
75841773,3331
96627394,2917
75154107,217
65896958,3613
49013505,1591
39435287,2354
67933673,1924
00225475,4566
35712942,4412
25374304,3341
09639799,419
71242313,1569
70992151,2666
60631799,2235
54314707,4128
36422806,4835
69977473,1117
65507034,4748
16490055,2130
93761155,2065
58419247,1119
86856526,3474
72003383,2202
76180640,2789
33403779,4269
75287879,4033
84077070,298
18180161,1341
66282035,4622
34543560,552
63763508,3440
27351904,2562
23891130,844
54045726,3595
22600608,3376
14126883,4400
78366817,80
12225415,243
60802002,2266
78328072,1601
36774475,4163
61663781,280
98391305,2588
48923228,3777
85795705,2901
08056486,3664
92998185,2421
20074320,3603
82663159,1241
86384416,3943
49520629,2860
62191694,464
81909958,2569
40030978,2927
67720440,92
97044545,427
44642364,162
66435046,68
82503276,3681
70585946,2664
61457070,4527
67779898,4276
30900952,3907
91532099,4269
50193603,1431
50128620,2469
68912359,2908
13988059,3583
16045014,1345
68437682,3017
75489746,1038
16319010,2045
46731979,504
69068374,1654
12693725,3664
95360451,2119
86274746,1999
68592050,2844
19093560,1980
47317070,3758
97647945,1678
88572662,2702
90610756,512
08282651,2769
32919655,4148
67720484,4648
55287369,1935
99985056,4091
94699458,1511
14249841,4328
38842318,2768
24133465,4719
96785884,1899
44793386,3377
28645487,2380
30040982,2290
93893881,1066
30075842,1350
86557540,3982
59013693,4788
69548714,2609
54582820,4668
15904681,2482
26049490,1039
03184640,2209
10166670,521
52355170,4519
30351936,2448
60307873,507
52610308,1650
16954961,664
24047795,3298
86227934,2989
31689510,4660
46101301,1471
26660214,1453
24952967,1589
78907189,1329
77388639,2585
51704171,4417
36628417,4088
36422806,1123
14677255,1530
09205007,1378
43191909,2100
11350806,1276
24178580,4672
46545801,846
85282869,1927
96771746,984
34005829,2659
42611991,3832
68247382,1263
84232726,4672
28000310,2530
74817026,4994
66505135,1731
03273181,2930
63776545,2392
38998210,3002
76426020,40
83692043,2256
10135458,206
21122306,78
32128191,1312
92966653,1884
74604547,1204
17383886,4573
85988860,878
75010608,2667
67811535,2391
31269879,2731
90661656,1482
83766165,1440
55060153,1322
72430473,4718
18782131,73
24909508,132
37201085,2780
69764163,117
37303268,3977
90548120,769
11422198,4070
96120705,353
34567500,2291
60641352,1060
71331351,3386
46775703,1509
44173256,2158
34876288,1447
93033803,3743
07640929,2547
51264279,844
22977056,1800
14274761,4242
07924704,422
65950082,1623
81887225,4753
05270584,2885
98799361,3345
94553079,4480
33906098,3915
96568282,901
81410489,439
55893784,1077
29528891,2892
27265556,757
79543592,1341
32455010,4471
22061472,2930
98746320,4115
20885908,1932
80191510,895
77727698,4135
39737926,4497
54328360,3013
97772486,3238
44103430,4547
66060506,56
50620349,2199
97097704,4578
43630956,2305
72668989,1882
93314415,4640
17904128,845
28154007,66
48085479,2275
58861311,2051
99556245,1389
05959379,4655
98238650,3667
94553079,1215
89299624,2300
96718870,2396
10306355,2101
39604962,3489
13765490,1038
71607776,4718
47166681,3498
71782755,4274
86943670,1930
78225151,4303
20434209,4044
56270553,80
33639020,2541
50391789,2671
33710841,108
32231513,817
31750541,2352
72973894,1117
15643026,2809
93665571,3837
04004826,4458
65926851,1768
09552379,4267
67651740,2299
04711059,3088
61049168,3106
13410355,661
55289579,3917
11646488,627
45103108,2114
39613684,3178
74416939,4496
37083709,1144
41917005,1336
22919524,2925
58712895,4153
84851316,82
32037174,1691
85967357,1020
89432948,3250
28359274,3296
67985763,1240
75478300,2247
62417010,3511
36683240,3097
79689950,4962
17273274,3556
98728026,3158
99538343,2776
79766763,1358
79151068,1020
15796923,4436
81517980,489
42988887,3155
52959284,1469
36908063,618
90499765,466
74499625,3723
72295531,4720
72071976,588
78981982,2860
44486508,1797
37337412,2712
05369189,3822
77039473,2153
76404576,2542
31990745,3396
07649176,3332
23736211,810
16434560,1746
23970343,597
92810981,2046
05545148,3279
68536497,129
97560741,4356
46516429,3520
04924176,3971
73581069,2690
96707570,2976
38786007,3524
20947028,4396
18160302,1008
04818643,2102
21913421,4381
46516548,3532
09270531,192
89797989,1196
34594867,1545
75154107,2064
14227686,3826
40295901,95
51357948,1341
73237555,4016
58939060,2102
68003690,3247
71394013,1179
35086104,4397
09863453,3140
28798465,2879
11350806,4412
45190852,2
21416384,1894
76714515,899
27909568,2026
34579458,2818
18945020,735
10658069,3199
09050057,3332
19008503,3812
43517210,3265
02483008,2412
90661656,2408
64073545,2983
31416514,4661
38148925,4422
71891398,4978
33146401,1382
50620349,1975
30843757,3016
08654923,1596
40640508,4853
09949125,99
99183905,2112
15539900,4325
30430012,1569
83686327,689
70819410,3386
76519106,3496
53361148,4997
20926107,3583
04591474,1287
07640929,1548
92030163,3138
92474193,1302
10562865,3876
52040610,3340
69694416,2933
68031932,839
25114085,4575
24706334,27
57415235,4106
27588483,2831
76372090,1517
47947627,213
60752900,3540
19830229,3638
40299083,3710
66701349,2496
66938637,1414
70202440,4355
00730647,752
70626089,1725
52960766,3840
48751206,1436
03010551,4080
32939943,2264
44125752,4883
22106959,2030
72886934,478
90683937,618
67526475,2391
94887668,3846
69709298,796
48923228,655
21699934,4197
62049920,3853
40076286,4058
36433430,4988
52658895,846
59661874,4018
20303726,591
31269879,816
35553081,4082
11164437,3226
24943451,2793
04591638,4931
62784689,4453
44813493,2639
77723325,1473
76432345,164
83912373,4656
12415883,620
02770001,2300
58298675,4317
92558671,1088
99167257,777
47464841,2322
67777816,3505
92889701,792
29743664,3668
88623081,1928
70167846,122
59634091,2378
26474916,4335
04677246,3759
48464723,1220
17808228,4835
15550256,1158
90148499,3019
60549906,3840
23891130,278
31734977,1741
20976770,270
23567760,4571
38811605,3823
38299430,2538
68915513,585
29112485,4411
14835321,1471
02391323,771
60314347,4290
91224516,2895
42273431,1864
58712895,4630
21209233,2652
60830755,31
42309691,984
96878346,4419
87473886,658
57487812,1544
93960838,1842
19299004,4778
51835636,1703
27176613,3699
53088553,64
38810743,4576
03602853,2813
60307873,4832
20811306,1524
63090551,912
09429372,636
55740528,4812
77970926,4068
02591633,578
03391064,925
76792056,1911
78202807,2557
36953580,2898
80508318,3583
10888557,1492
72262283,2419
52331562,705
20966787,3539
26693503,1262
42260096,2703
70274545,1944
08621344,4470
57134559,2663
22760789,2339
94669161,968
56558448,364
15511262,2384
57376146,2273
83445929,4886
24477953,3232
91744021,2207
21913421,3798
19293146,3589
18506415,1154
38095038,105
97248938,4730
43442288,3549
65278204,3806
38835470,443
85236627,806
03444837,4410
26301026,1995
54211494,1795
04046266,3430
34275144,1476
85836238,764
44688823,3666
40524314,2948
66435046,3252
87331265,4811
78188431,4311
83718274,407
52493912,1446
40882536,425
83763939,1710
11516528,4654
67338425,3753
65181787,4268
05542498,2270
20631253,4934
95264632,712
65849127,3782
26832005,1614
09180694,2986
60786079,2184
28906991,928
43368069,3691
34343536,708
55825284,3252
12156690,3379
90004987,3716
40595800,3787
52283069,2387
29956395,721
06941675,3457
45558038,3403
91553758,2707
57835570,1253
28748355,1619
61624027,1891
45882501,4741
75518109,1651
51395614,1858
19835161,4921
39582491,1196
12811939,1425
04779113,2686
93761155,85
31239094,4620
49632365,4730
48688043,2814
76276986,4951
48382218,4375
03486293,2546
25441701,1796
97874584,4798
33339883,4961
63186362,1321
87602917,1512
28359274,4634
31151342,4543
83307508,3972
25004205,2624
29366194,3655
62019509,1216
61268601,3025
43352821,4224
54987580,904
39861685,533
12164889,946
94699458,592
32295720,218
97392543,4898
88744788,78
38706179,2782
64326079,471
02483008,2124
39852961,907
50405486,4853
33816852,4696
30510562,4301
31778071,1452
98610298,3402
10830304,3476
17456687,3510
63536383,3969
19322969,2872
52499874,3713
75846891,2079
75696365,533
71948066,4855
10996812,4891
37296455,1801
16346226,4431
32781233,1713
63298443,2724
67324062,905
08582044,2243
55335009,4236
82242384,947
20159097,2847
52154145,4553
33294176,457
76650603,3489
93125490,3409
94669161,102
16751532,1380
48668790,1596
91965001,2143
42586497,1187
14517234,2859
00454761,2575
55086638,4439
25003839,776
96759450,1891
00860300,2774
31532280,2992
10842355,457
88914866,1946
49452266,3690
04218250,673
86110212,4972
48894088,137
35908867,4290
08296444,301
48062565,3841
62160973,741
61713352,3277
99750388,1236
91979050,1560
92918668,2128
98995643,4217
56864804,3014
26545897,4922
57807689,2676
08335455,1667
01695107,3756
66874904,3107
75580376,4561
88134526,2526
65290581,4228
55488702,3022
25130947,4136
15504366,2854
44252081,3056
13758088,1203
09676518,101
72940108,306
46939133,2798
19046215,779
87797980,1545
67443950,177
09289805,439
77841980,547
89526744,3386
88802755,4862
25049398,2144
79827703,3936
71316728,3240
60549906,3005
35592537,2557
21229661,1481
65584584,2333
76011639,3478
96921203,1072
95790615,1959
09289805,3057
16989510,2918
65095918,3124
28610382,3496
48309391,2890
42865489,477
80152989,298
67406673,2668
44404029,3908
38193435,4835
73827306,3938
67702058,3180
17455506,2160
40785351,1404
03753374,2269
83486334,849
82208226,1851
19708517,1526
90105838,4937
92371206,2838
59880225,1084
15507394,566
29231365,433
82090569,4921
65193620,1612
78016425,3511
16889163,3776
87586798,3174
42239222,4702
03975221,4168
76519106,4293
10770255,1
68697903,1489
99236003,2472
48378868,2901
27598652,605
47208043,4978
25509009,3072
74994430,2110
77925813,1105
74576299,453
40995994,1977
75938014,1308
62681825,1518
87899063,1082
36860258,4334
90931587,3408
83479474,4224
08250927,3567
10177773,4027
20314321,4710
65519493,3158
88708361,3508
89531585,1453
03475141,575
12318937,693
80308657,3527
08594796,1609
64603723,4174
67777816,3549
31848466,166
53845304,1983
76167943,1275
69648987,1175
45476022,607
61821887,2662
40725735,2538
94578882,2711
45523249,3402
01943696,3018
58934001,778
66572694,5
42447934,2734
16029566,1844
32805531,1094
25160759,3516
43215752,2333
65193620,2538
31913326,4411
88134289,4802
73641030,1619
53943055,3040
73062079,3285
17762066,1557
81920383,3971
72591485,2017
45674015,990
40375403,407
56094001,1342
57666370,3336
14766701,350
03526233,1401
86663330,3704
74993187,3996
61116928,357
66782185,837
27612441,1263
75443491,3838
05863938,2333
10233812,3941
20488486,2674
94774089,2407
79933790,4333
98236004,3741
52078552,1418
72657139,816
57079766,282
70862354,2156
60312084,2508
06820586,4805
75270471,1302
85736138,1194
79992406,2225
31776098,4819
67017023,3132
31239094,2215
58372005,4718
82926204,4471
41509072,3789
35315380,2431
81321127,1643
11473131,4680
65358410,1816
51711314,2264
01688050,692
35755167,3542
05936479,2712
41814039,912
65849127,2473
41620489,848
31876449,4491
11736063,1411
15418513,390
57521729,966
66883569,448
12225100,738
66379287,4349
94774089,368
84099204,3606
49136349,490
99010620,4702
93481030,2645
32231513,121
37175325,56
15325197,1993
81030126,4551
13275363,1671
15088153,3398
19154193,3198
40463629,1240
76965943,1818
61734951,3441
99507501,3749
69904512,2332
70141387,1442
48615878,3006
47145194,4560
54062958,1262
53083041,1913
93034075,3628
49344006,3574
03624344,1742
08635783,494
33264437,2307
32417124,3561
02715793,42
33610975,1879
27772588,2898
88563161,3645
35903151,4336
11406621,758
91026682,2583
94759238,4346
83661914,1351
43948056,1516
16663240,1517
87221026,4511
54270093,336
52132301,2457
97287543,50
66983698,2544
56840760,2750
14222915,3576
60060872,2755
10224482,3583
83822886,3660
69460029,4435
46379299,1011
39687897,4144
74801894,2745
43535831,46
75330417,2103
75846891,226
75245402,915
65095918,2787
85558891,54
24474312,1057
02980602,2458
86063696,1156
35403846,4558
28966588,3658
13142008,433
62707973,3517
28286010,4578
43033413,1512
99856256,4674
28046276,4290
80771250,1116
19002490,569
72310288,3552
95317830,4348
67526475,1392
51935908,466
97660715,4095
77805710,416
48164533,2714
29309246,4576
49723319,3519
87540746,945
95452789,2107
36774475,3125
90535623,367
01069122,1263
39961826,3284
09563921,1218
06856825,2893
37105412,3146
57807689,3676
22057892,4487
43800501,1586
02294185,2776
80482079,330
13695491,2449
36934903,3150
31376424,4652
32989599,3555
31068928,4743
29717095,193
12047435,1758
36727442,543
94625586,1665
01353172,4895
59992588,4073
70462643,1127
45635644,2694
06656003,3465
68993396,3366
18422968,527
99670487,349
70862749,1913
45261013,1638
57065112,2779
70541299,743
04026998,93
97215780,4153
04189827,3181
97772486,425
03313099,3333
34961065,4351
88422135,3059
90444799,4877
60472626,1572
70696730,3024
38376969,411
38410479,2128
50696690,4727
27491774,4145
05064423,2852
44251160,3182
43342901,1445
67845583,1286
22281892,4505
90144716,407
22471884,3913
84040052,1354
09003641,4508
27811098,2553
94525914,827
06850480,4531
60319107,1655
25653765,4916
18945020,3130
19932405,240
01752480,3006
18454001,2984
22995761,2109
58114871,430
83286006,37
28748620,3508
82987357,1949
61167406,2275
60991814,2445
11301375,242
47005070,3110
21899544,864
61049168,489
89061293,1147
07944500,2545
32887243,2305
77887966,1161
53151808,1355
76353199,3615
73891338,2588
55450261,3975
24345467,2603
55809924,2310
74326551,1438
04661967,2411
21336693,4381
09271935,509
06668704,287
18158944,2377
89518327,969
16233287,526
43635551,3178
52515460,1268
23929953,2662
44705829,4022
94399773,4888
68561154,403
50794600,2978
78388685,74
09364495,3822
53044047,3800
91215717,711
17032323,4800
60307873,1660
27445419,138
41934738,4803
14505419,3609
27489440,56
85865067,218
44481037,2465
61321351,2026
75995269,1295
98534046,4845
45063116,1495
38193435,42
62962752,109
41032790,4872
34609149,856
46956744,3171
72810220,3201
32923388,2851
48567326,1678
21919493,2338
39126114,2689
76658844,805
25434131,4502
50308398,3861
61928936,1613
56463134,70
78733800,1330
70202440,4778
43610582,3011
20475578,3611
39008621,675
95480386,4088
79457964,2796
19803823,3233
60438853,4751
95682242,1209
42266199,4481
52870971,300
37281349,2550
76812555,1132
75544326,4219
57533837,3623
12232800,371
56583651,4692
34868733,756
36989174,3601
76650618,2791
97323548,3011
72999742,981
31038801,62
76725330,3169
26911834,4526
45299413,2341
33332354,4337
95031427,339
64652197,406
50773477,3023
36934903,2812
51431261,1487
19615621,3128
59054855,2160
69625086,26
94344161,772
58897526,539
46047071,635
24654871,190
72262283,928
58833051,4158
31990194,2246
76608794,4513
98630672,316
89886079,3496
04390115,1653
39463317,4438
77746655,164
73957113,1736
53997110,648
85509570,2276
49150969,2505
01658258,878
06843515,2472
25283065,4648
72038409,3489
94487683,1670
40640508,5
57913019,3321
93720005,2454
22655176,1364
16760968,829
96434851,4953
94557761,1073
66294080,4670
88947261,1156
81877646,846
95420936,2466
72831585,3153
81808552,496
69943159,4691
22352644,4311
35429222,1073
95597684,3896
05436139,4637
45364144,3915
29366194,4515
75861058,4508
21692937,2089
27358868,3861
91933919,3655
89902347,1411
25433225,1383
31490224,3929
44184790,168
49354465,3690
16495523,1115
37479541,2573
96164014,3670
44832872,2934
09957250,4173
92138784,2014
75464293,2945
86237302,4508
71000869,3456
58981498,4498
95793504,1091
19708517,2964
20243092,1139
99419083,3364
15460604,4022
23057727,2519
49320165,2760
31550123,2325
84051279,2915
15543454,2443
40125930,3460
07402589,2128
23755723,2331
74429243,4144
64507263,2709
03478252,4250
30030383,2256
