DNI,nombre, Apellido_Materno,Apellido_Paterno,Fecha_Nac,teléfono,sexo
70000098,Emile,Davis,Williams,1986-6-27,69759851,M
70000099,Jaslyn,Wilson,Smith,1980-1-18,27594913,F
70000100,Cinthia,Lee,Jones,1972-6-14,93745637,M
70000101,Talon,Brown,Smith,1985-1-24,92421788,M
70000102,Shaquan,Rodriguez,Thomas,1996-5-24,92565925,M
70000103,Todd,Martinez,Anderson,1982-12-19,52881938,F
70000104,Eli,Moore,Martinez,1983-12-22,96142321,F
70000105,Markus,Jones,Garcia,1970-2-1,59735797,M
70000106,Levie,Lee,Anderson,1986-11-23,18419548,M
70000107,Estie,White,Brown,1983-6-24,24866346,F
70000108,Rosita,Anderson,Wilson,1972-8-25,43471292,F
70000109,Odalys,Garcia,Williams,1976-1-9,95471992,M
70000110,Hakim,Garcia,Thompson,1990-3-26,23369178,M
70000111,Sammie,Taylor,Taylor,1973-7-6,76681787,F
70000112,Leeroy,Garcia,Smith,1999-9-6,28324928,F
70000113,Aleta,Rodriguez,Thompson,1996-7-15,44213358,M
70000114,Wilburn,Brown,Thomas,1983-3-25,82483573,M
70000115,Kimber,Jackson,Thompson,1985-7-17,28138131,M
70000116,Blanchie,Wilson,Martin,1993-7-24,63588533,F
70000117,Maryjane,Thomas,White,1986-11-20,84884477,F
70000118,Ignacio,Williams,Wilson,1989-12-17,95741564,M
70000119,Bailee,Davis,Anderson,1997-7-28,12497834,F
70000120,Wanda,Davis,Brown,1983-10-18,99141265,F
70000121,Kieran,Thompson,Jones,1978-7-17,94741422,M
70000122,Lisa,Anderson,Martin,1981-5-21,85666652,F
70000123,Davy,Garcia,White,1996-1-4,51922961,M
70000124,Pearley,Miller,Miller,1981-1-9,52985551,M
70000125,Almer,Johnson,Brown,1985-3-0,27417581,M
70000126,Horacio,Moore,Thomas,1994-11-3,11689212,M
70000127,Marty,Miller,Johnson,1990-9-13,68216832,M
70000128,Hope,Williams,Jones,1980-7-15,95133744,M
70000129,Keon,Lee,Taylor,1992-4-11,14924677,F
70000130,Katrina,Lee,Brown,1977-2-7,58142313,M
70000131,Misti,Anderson,Moore,1998-2-13,68268593,M
70000132,Lissette,White,Thompson,1984-8-24,54757665,F
70000133,Rosalia,Thomas,Williams,1991-4-18,41654413,M
70000134,Jeryl,White,Martin,1973-7-10,89734497,F
70000135,Sheyla,Miller,Martin,1986-5-4,85821968,F
70000136,Less,Taylor,Martinez,1999-8-20,27691919,M
70000137,Elzie,Anderson,Lee,1977-12-24,98357343,F
70000138,Kassandra,Davis,Williams,1988-10-19,46873871,M
70000139,Kennedy,Taylor,Moore,1974-8-19,84388922,M
70000140,Lott,Davis,Taylor,1983-5-14,93877832,F
70000141,Rosalind,Martinez,Miller,1998-2-18,84713592,M
70000142,Maye,Thomas,Martin,1989-4-20,14661323,M
70000143,Montie,Garcia,Johnson,1990-3-18,32512738,F
70000144,Effie,Thompson,Thomas,1971-11-18,72315126,F
70000145,Jasmyn,Moore,Lee,1977-12-12,91231191,F
70000146,Edd,Williams,White,1988-3-19,74293694,M
70000147,Deforest,Brown,Taylor,1988-3-15,21713512,M
70000148,Camryn,Thompson,Garcia,1983-12-14,19238465,F
70000149,Osvaldo,White,Jackson,1985-3-18,14264412,F
70000150,Cyndi,Anderson,Taylor,1985-7-12,42832548,M
70000151,Leighton,Jackson,Moore,1991-12-4,91416735,F
70000152,Delphin,Davis,Taylor,1977-2-0,37599744,F
70000153,Aleah,Moore,Lee,1987-10-8,24954496,F
70000154,Marina,Thompson,Lee,1999-2-9,72831774,F
70000155,Scarlett,Wilson,Johnson,1977-8-7,71663991,M
70000156,Sloane,Garcia,Brown,1976-5-16,35415252,M
70000157,Fatima,Martinez,Rodriguez,1983-7-24,41697866,F
70000158,Humphrey,Garcia,Martin,1995-3-5,75115419,F
70000159,Laverne,Taylor,Lee,1989-6-6,61627312,M
70000160,Zaiden,Anderson,Williams,1994-7-14,99287627,M
70000161,Vernon,White,Smith,1976-2-26,36267785,F
70000162,Emerald,Martin,Davis,1979-9-14,41748479,F
70000163,Mervin,Jackson,Lee,1991-2-18,98584959,F
70000164,Gerhard,Wilson,Thomas,1988-8-15,57991517,M
70000165,Latisha,Jones,Brown,1972-9-26,85813298,F
70000166,Katelyn,Davis,Miller,1985-11-20,17894855,M
70000167,Kassidy,Anderson,Lee,1998-10-12,86666954,M
70000168,Emmy,White,Garcia,1987-7-4,14181563,F
70000169,Rustin,Brown,Garcia,1994-2-28,14377743,F
70000170,Levina,Johnson,Thomas,1993-11-25,92719655,M
70000171,Audrey,Johnson,Miller,1972-4-9,68973646,M
70000172,Daren,Taylor,Williams,1988-1-4,83131983,M
70000173,Alphonsus,Smith,Jones,1981-8-20,75962113,M
70000174,Zaniyah,Miller,Thompson,1990-1-14,22924883,F
70000175,Shona,Smith,Jackson,1974-12-15,32817817,F
70000176,Kennith,Jackson,Thomas,1991-11-26,43522691,F
70000177,Chana,Williams,Johnson,1980-2-17,51828396,M
70000178,Debbra,Brown,White,1985-11-13,19238195,M
70000179,Maury,Wilson,Martinez,1984-10-5,36385914,M
70000180,Joi,Martin,Miller,1982-6-19,67557356,M
70000181,Alfredo,Lee,Taylor,1974-12-21,15233693,M
70000182,Scot,Anderson,Wilson,1977-12-6,19754557,F
70000183,Randy,Thomas,Jackson,1981-8-13,18228286,M
70000184,Palmer,Taylor,Thomas,1973-12-15,14386412,M
70000185,Marva,Martin,Jones,1995-4-14,85286172,M
70000186,Andrea,Davis,Williams,1974-2-24,46562299,M
70000187,Maegan,Lee,Martin,1978-1-18,33348625,M
70000188,Delpha,Smith,Taylor,1996-5-3,82215393,F
70000189,Karri,Martinez,Wilson,1981-10-25,66688447,F
70000190,Natasha,Taylor,Thomas,1978-5-2,64475774,F
70000191,Jorja,Smith,Taylor,1979-10-8,33388892,M
70000192,Aaden,Martin,Rodriguez,1986-9-9,45782956,M
70000193,Bill,Brown,Williams,1970-3-3,29225995,M
70000194,Vernice,Smith,Davis,1975-1-17,12867959,M
70000195,Lemmie,Wilson,Anderson,1988-7-22,93585952,F
70000196,Darleen,Davis,Anderson,1977-1-15,34419185,M
70000197,Sim,Anderson,Smith,1987-3-10,16155327,M
70000198,Walton,Thomas,Martin,1997-4-0,37465143,M
70000199,Gordon,Taylor,Taylor,1994-10-5,32424645,M
70000200,Fred,Martin,Moore,1999-11-25,25359863,F
70000201,Skye,Lee,Thompson,1996-2-28,72223374,F
70000202,Corwin,Lee,Lee,1979-1-12,62797671,F
70000203,Dorthea,Rodriguez,Smith,1975-6-0,33752757,M
70000204,Sharyl,Davis,Lee,1985-8-17,29886523,F
70000205,Hortensia,Johnson,Martinez,1994-1-12,31573447,M
70000206,Hezekiah,Williams,Brown,1980-6-22,75532173,F
70000207,Andria,Anderson,Anderson,1998-11-13,78896837,M
70000208,Kori,Davis,White,1974-8-1,13765869,F
70000209,Javon,Johnson,White,1982-2-20,15272753,F
70000210,Leslie,Lee,Smith,1976-2-22,78952418,M
70000211,Venessa,Davis,Jones,1973-1-22,91515671,M
70000212,Jacqulyn,Anderson,Martinez,1986-1-11,71243354,M
70000213,Hali,Brown,Wilson,1986-11-5,75925481,F
70000214,Alexzander,Johnson,Miller,1998-4-28,62973387,F
70000215,Cris,Miller,Garcia,1997-8-9,52222647,M
70000216,Gennie,Anderson,Miller,1990-6-13,46621848,F
70000217,Benjamin,Martinez,Wilson,1977-3-22,52664737,F
70000218,Pansy,Williams,Jackson,1999-6-21,64515386,F
70000219,Pamella,Thomas,Martin,1973-6-5,54981331,F
70000220,Boysie,Anderson,Garcia,1993-3-18,27147475,M
70000221,Christine,Williams,Smith,1991-3-21,75341151,F
70000222,Hailey,White,Martinez,1996-10-9,36229634,F
70000223,River,Jones,Anderson,1983-9-5,11725799,M
70000224,Carli,Lee,Jackson,1989-9-7,13612364,M
70000225,Dellar,Anderson,Martinez,1978-5-11,84863112,M
70000226,Yaritza,Smith,Taylor,1976-4-9,62699833,F
70000227,Alpheus,White,Williams,1972-7-1,19275456,M
70000228,Daria,Thompson,Thomas,1982-8-2,79738488,M
70000229,Lina,Thompson,Jackson,1971-5-4,66353886,M
70000230,Stone,Rodriguez,Jones,1992-3-10,16966693,M
70000231,Ardelia,Davis,Smith,1993-6-10,91335482,F
70000232,Patricia,Rodriguez,Thomas,1979-9-6,71776334,F
70000233,Jahiem,Jackson,Miller,1998-11-10,21533748,M
70000234,Joselyn,Taylor,Wilson,1990-8-25,69714136,F
70000235,Aryan,Brown,Garcia,1985-11-0,84814987,M
70000236,Atticus,Smith,Brown,1990-7-6,21861252,F
70000237,Joana,Smith,Brown,1979-8-3,87175341,M
70000238,Theodore,Jackson,Thomas,1976-11-7,37882816,M
70000239,Stacey,Thomas,Rodriguez,1981-4-14,66771274,M
70000240,Marrion,Jackson,Davis,1990-9-15,43722892,M
70000241,Minta,Jones,Garcia,1976-10-27,19574491,F
70000242,Nasir,Davis,Anderson,1982-5-6,42311271,M
70000243,Trenton,Thompson,Wilson,1979-6-2,64391517,M
70000244,Leonidas,Rodriguez,Rodriguez,1992-7-27,51359456,M
70000245,Moody,Lee,Johnson,1979-6-26,33969119,F
70000246,Grisel,Lee,White,1992-6-2,24726431,M
70000247,Macie,Moore,Jones,1982-9-16,44139719,M
70000248,Jalen,Martin,Brown,1992-1-22,36276718,F
70000249,Suellen,Moore,Davis,1981-4-2,38719467,M
70000250,Reginald,Wilson,Jones,1992-5-23,26233774,M
70000251,Fronnie,Thompson,Johnson,1993-1-21,85855571,M
70000252,Enrico,Jones,Williams,1994-8-18,31221488,M
70000253,Ezzard,Williams,Martin,1982-1-17,23297734,M
70000254,Braelyn,Williams,Taylor,1986-9-24,16427243,M
70000255,Evans,Rodriguez,Anderson,1980-5-18,96513955,F
70000256,Ariane,Martinez,Brown,1998-3-2,21331754,F
70000257,Boyd,Johnson,Lee,1979-5-4,98248442,F
70000258,Lurline,Taylor,White,1990-9-27,67381363,M
70000259,Junie,Jackson,Brown,1997-9-11,38221832,F
70000260,Cori,Martinez,Lee,1979-12-22,52478472,M
70000261,Clinton,Anderson,Thomas,1976-3-2,59151813,F
70000262,Irine,Martin,Taylor,1983-4-22,76882438,F
70000263,Ailene,Johnson,Martin,1978-12-18,25519389,F
70000264,Elmer,Moore,Thompson,1998-11-24,56115245,F
70000265,Daniele,Thomas,White,1971-3-18,87235154,M
70000266,Ty,Lee,Thompson,1988-8-19,47925436,F
70000267,Twila,Garcia,Johnson,1978-10-1,32544126,M
70000268,Jayda,Brown,Moore,1998-6-6,31623143,F
70000269,Brett,Martinez,Lee,1970-9-20,22253454,F
70000270,Fronnie,Thomas,Williams,1996-12-13,75434627,F
70000271,Shona,Anderson,Anderson,1996-2-21,98923235,F
70000272,Liberty,Johnson,Wilson,1972-8-6,12643874,F
70000273,Windy,Martinez,Martin,1975-12-23,14473685,M
70000274,Dania,Thompson,Lee,1976-12-14,48782967,F
70000275,Skyler,Martin,Martin,1980-12-27,21357583,F
70000276,Zebulon,Jones,Williams,1996-8-25,51828792,M
70000277,Marlie,White,Garcia,1983-5-26,46268884,M
70000278,Dezzie,Martinez,Jackson,1994-4-20,58718387,M
70000279,Alek,Taylor,Brown,1991-2-14,89183841,M
70000280,Alyssia,Moore,Thompson,1996-3-11,65926742,F
70000281,Tarik,Garcia,Davis,1997-8-11,32239491,M
70000282,Mikaila,Davis,Martinez,1981-5-13,76175626,M
70000283,Alessandra,Johnson,Wilson,1996-9-18,17729446,F
70000284,Pennie,Anderson,Garcia,1973-8-8,66761293,M
70000285,Vinson,Jones,Anderson,1993-10-14,28868792,M
70000286,Nathaniel,Garcia,Jones,1988-6-22,76239928,F
70000287,Linden,Thompson,Smith,1995-6-0,47922761,M
70000288,Emelie,Taylor,Jackson,1974-3-9,68558459,M
70000289,Mahala,Johnson,Thompson,1971-3-18,53124289,F
70000290,Halbert,Rodriguez,Taylor,1992-3-22,19553367,F
70000291,Saul,Jackson,Davis,1989-12-15,46847236,F
70000292,Josie,Lee,Thompson,1985-1-26,67629823,F
70000293,Kiyoko,Thompson,Moore,1973-9-0,89542254,M
70000294,Cosmo,Wilson,Jackson,1973-2-19,83442193,F
70000295,Goldie,White,Davis,1984-2-13,84137251,F
70000296,Charlsie,Taylor,Taylor,1976-12-26,41372471,F
70000297,Nedra,Davis,Brown,1998-10-10,65768371,F
70000298,Michele,Moore,Moore,1986-3-23,36154298,M
70000299,Augusta,Martinez,Davis,1995-5-26,85961585,M
70000300,Kelvin,Moore,Martinez,1982-5-19,84668785,M
70000301,Orlena,Thompson,Taylor,1992-7-25,79565381,M
70000302,Sylvia,Rodriguez,Anderson,1976-9-20,58115773,F
70000303,Rashida,Wilson,Jones,1997-1-12,17731258,F
70000304,Teressa,Martin,Thomas,1987-4-26,18826163,M
70000305,Dulcie,Thompson,Garcia,1996-10-18,28482284,F
70000306,Idell,White,Thompson,1981-2-0,95354859,M
70000307,Makala,Thompson,Smith,1984-8-9,96613528,F
70000308,Vicente,Garcia,Anderson,1996-10-13,35569925,M
70000309,Kassandra,Anderson,Brown,1983-3-28,42972931,M
70000310,Aleen,Lee,Miller,1986-6-6,58992984,M
70000311,Torrance,Martinez,Brown,1984-7-16,61267137,M
70000312,Sonya,Garcia,Lee,1997-3-28,51358546,F
70000313,Estill,Miller,Williams,1986-11-7,85298612,F
70000314,Toccara,Lee,Lee,1981-11-6,74596327,F
70000315,True,Thomas,Garcia,1984-1-10,13792549,M
70000316,Agusta,Taylor,Thompson,1980-4-11,25875476,F
70000317,Amin,Johnson,Williams,1973-8-0,89756719,F
70000318,Darren,Lee,Rodriguez,1971-5-20,74658176,F
70000319,Draven,Thompson,Martin,1983-7-3,41815253,F
70000320,Devonta,White,Martin,1971-2-23,43798575,F
70000321,Merritt,Wilson,Anderson,1977-2-2,19968363,F
70000322,Gerald,Jackson,Anderson,1981-6-11,45382819,M
70000323,Dellie,Lee,Martin,1992-1-12,26699225,M
70000324,Loy,Williams,Martinez,1981-5-9,32837187,F
70000325,Loyd,Lee,Rodriguez,1970-8-10,18347136,F
70000326,Louie,Martinez,Taylor,1975-3-8,44726423,F
70000327,Son,Jackson,Johnson,1986-12-5,61662364,F
70000328,Bethany,Davis,Miller,1981-1-3,71222852,F
70000329,Bradford,Rodriguez,Moore,1972-10-7,29873919,F
70000330,Donell,Martin,Rodriguez,1994-2-22,19521473,M
70000331,Wellington,Garcia,Jones,1995-12-9,97164134,M
70000332,Britni,Williams,Williams,1976-5-5,82412248,F
70000333,Chasity,Williams,Jackson,1974-8-21,62745148,M
70000334,Hampton,Rodriguez,Davis,1970-3-2,28938159,F
70000335,Milan,Anderson,Miller,1991-8-27,12275669,M
70000336,Emily,Moore,Williams,1985-8-9,31894478,F
70000337,Luciano,White,Smith,1994-3-1,33121654,M
70000338,Syble,Williams,Brown,1983-6-16,63323449,M
70000339,Cheryll,Johnson,Rodriguez,1992-5-28,64673417,M
70000340,Gaige,Smith,Smith,1988-11-11,98499431,F
70000341,Diya,Moore,Rodriguez,1976-5-4,32666694,M
70000342,Fulton,Jackson,Taylor,1992-5-28,82318149,M
70000343,Keven,White,Garcia,1981-5-13,22667195,M
70000344,Louisa,Anderson,Thomas,1992-5-25,67877572,F
70000345,Precious,Davis,Moore,1988-12-13,83756455,M
70000346,Darlene,Martinez,Garcia,1997-10-12,21897622,M
70000347,Gurney,Johnson,Garcia,1980-8-20,37499714,M
70000348,Johnnie,Martinez,Jones,1973-2-4,83169592,F
70000349,Giuliana,Jones,Wilson,1975-8-8,28235894,F
70000350,Breonna,Smith,Thomas,1981-6-0,51154984,M
70000351,Christop,Miller,White,1977-5-19,66788945,M
70000352,Alvis,Wilson,White,1991-6-18,84887375,F
70000353,Zoie,Miller,White,1989-9-11,62737632,M
70000354,Larae,Lee,White,1980-11-7,21518913,M
70000355,Manley,Miller,Johnson,1996-1-20,18188828,F
70000356,Birdie,Johnson,Jackson,1995-10-24,29249937,F
70000357,Suzanne,Wilson,Miller,1979-8-23,88596455,M
70000358,Jonah,Miller,Thompson,1989-9-9,95119779,F
70000359,Americo,Smith,Jones,1989-8-26,97744158,M
70000360,Renea,Moore,Thomas,1986-5-27,64642318,M
70000361,Sariah,White,Smith,1979-7-28,21464779,F
70000362,Colin,Jackson,Wilson,1979-5-0,22353282,M
70000363,Grecia,Moore,Anderson,1974-11-2,85131277,F
70000364,Vincenzo,Rodriguez,Anderson,1980-8-9,54759877,F
70000365,Clyda,Martinez,Smith,1970-10-23,82862867,M
70000366,Karlie,Davis,Jackson,1991-1-4,79725499,F
70000367,Orlo,Smith,White,1993-12-4,37814769,F
70000368,Deb,Lee,Miller,1993-11-0,98341569,M
70000369,Crawford,Garcia,Johnson,1981-6-17,33883966,M
70000370,Kaley,Moore,Williams,1985-7-18,74577311,F
70000371,Jada,Miller,Brown,1981-1-7,74743738,M
70000372,Santana,Wilson,Thompson,1979-8-1,93521941,M
70000373,Terrance,Thompson,Jones,1972-6-23,23986267,F
70000374,Isham,Smith,Martin,1971-10-11,16438229,M
70000375,Dominga,Martin,Miller,1994-4-22,76772187,M
70000376,Vernita,Taylor,Jackson,1983-10-6,61293783,F
70000377,Amiya,Taylor,Rodriguez,1995-10-0,21565672,M
70000378,Thompson,Wilson,Taylor,1975-4-1,96484552,M
70000379,Pleas,Moore,Smith,1982-5-1,54471835,M
70000380,Encarnacion,Jackson,Davis,1984-8-27,16844267,M
70000381,Alfred,Moore,Thomas,1975-10-13,79686478,F
70000382,Odell,Moore,Thomas,1999-8-6,72633727,M
70000383,Jaslene,Lee,Lee,1990-5-19,91138663,M
70000384,Tracey,Garcia,Miller,1980-10-28,35566727,M
70000385,Justina,Taylor,Garcia,1992-2-27,94714649,M
70000386,Corinne,Miller,White,1984-6-12,84839481,F
70000387,Cappie,Smith,Martin,1973-11-13,28988321,M
70000388,Madie,Martin,Anderson,1999-2-22,67121138,M
70000389,Idell,Lee,Wilson,1971-10-7,98964566,F
70000390,Vela,Martin,Jackson,1995-6-16,99998771,F
70000391,Boone,White,Moore,1973-10-28,88172298,M
70000392,Dayne,Johnson,Smith,1979-4-9,49216184,F
70000393,Tyrik,White,Brown,1992-4-21,12286314,M
70000394,Emely,Thomas,Garcia,1970-3-2,63673251,F
70000395,Mariam,Martin,Thompson,1974-1-21,46334762,F
70000396,Corene,Johnson,Rodriguez,1984-2-26,22578774,F
70000397,Leandro,Garcia,Moore,1989-9-28,65367533,M
70000398,Roxana,Jones,Jones,1986-10-17,17732418,M
70000399,Hayleigh,Taylor,Rodriguez,1981-12-23,52867411,F
70000400,Antwain,Thompson,Taylor,1998-1-4,85168276,M
70000401,Yulisa,Smith,Smith,1993-6-19,45611141,M
70000402,Billye,Thompson,Smith,1993-6-21,97891617,F
70000403,Jelani,Thomas,Martinez,1985-11-4,23673484,F
70000404,Carisa,Miller,Smith,1978-1-19,61139268,M
70000405,Amit,Garcia,Williams,1979-5-19,33368376,F
70000406,Alleen,Anderson,Thompson,1989-7-27,44756443,F
70000407,Shellie,White,Smith,1977-6-17,39735563,M
70000408,Myah,Johnson,White,1997-10-9,82754487,M
70000409,Patty,Brown,Martin,1980-1-27,64137361,M
70000410,Adelard,Smith,Williams,1988-5-13,19284429,M
70000411,Fae,Miller,Martinez,1987-12-28,42623338,F
70000412,Zada,Davis,Taylor,1986-8-5,35833962,F
70000413,Rachael,White,Miller,1995-4-7,72931243,M
70000414,Deja,Rodriguez,Wilson,1980-3-14,19482475,F
70000415,Griselda,Williams,Jones,1992-10-25,27418492,M
70000416,Alexandria,Jones,Martin,1971-1-2,67876991,F
70000417,Shaquita,White,Davis,1985-3-26,98436256,F
70000418,Arah,Garcia,White,1988-4-25,22718175,M
70000419,Martina,Davis,Moore,1989-3-20,32443135,M
70000420,Gladis,Martin,Rodriguez,1984-3-28,58998574,M
70000421,Deondre,Williams,Garcia,1970-8-6,95749729,F
70000422,Shandra,Garcia,Lee,1980-3-2,18376931,M
70000423,Nicolle,Johnson,White,1974-10-7,37978647,F
70000424,Cristin,Moore,Lee,1991-4-20,53379862,M
70000425,Lukas,Rodriguez,Johnson,1978-4-1,87384827,M
70000426,Berlin,Moore,Lee,1974-3-16,32968723,F
70000427,Shae,Smith,Garcia,1976-12-27,31256338,M
70000428,Pleasant,Jackson,Lee,1983-4-22,59433975,M
70000429,Sammy,Garcia,Miller,1994-1-0,59642162,M
70000430,Villa,Garcia,Davis,1998-4-24,17347324,F
70000431,Jaheem,Williams,Wilson,1996-10-6,29164967,F
70000432,Theresa,White,Brown,1998-11-0,89481112,F
70000433,Monroe,Jones,Jones,1977-6-24,28222397,M
70000434,Miriam,Miller,Wilson,1998-4-3,28354355,F
70000435,Theodis,Davis,White,1983-12-4,38221347,F
70000436,Moises,Lee,Smith,1997-12-19,62286492,M
70000437,Shani,Rodriguez,Martin,1986-10-17,75876691,F
70000438,Camren,Johnson,Martin,1977-3-16,54852488,M
70000439,Jerold,Thomas,Thomas,1980-12-24,32218877,F
70000440,Estill,Garcia,Taylor,1974-9-24,28791716,F
70000441,Tennie,Smith,Anderson,1978-3-28,62381145,F
70000442,Kattie,Thompson,Lee,1974-6-13,37984935,M
70000443,Talia,Taylor,Rodriguez,1978-11-19,58274965,M
70000444,Alphonse,Brown,Williams,1972-6-1,96562854,M
70000445,Savon,Thomas,Rodriguez,1975-9-4,92786889,F
70000446,Hans,Jackson,White,1983-2-12,32977139,M
70000447,Mathias,Thomas,Jones,1994-7-1,64519285,F
70000448,Leafy,Miller,White,1971-1-11,19894375,M
70000449,Marcia,Lee,Thompson,1982-6-14,28366355,F
70000450,Ken,Taylor,Davis,1998-6-15,54633839,F
